sample_start_ns,sample_end_ns,pid,read_bytes,write_bytes,cancelled_write_bytes,read_bytes_delta,write_bytes_delta
20454239137939,20454339562122,3724615,157429760,148381696,0,97779712,96985088
20454339562122,20454440027848,3724615,251146240,241401856,0,93716480,93020160
20454440027848,20454540570496,3724615,361246720,350621696,0,110100480,109219840
20454540570496,20454641144419,3724615,476327936,464723968,0,115081216,114102272
20454641144419,20454741605632,3724615,523747328,512040960,0,47419392,47316992
20454741605632,20454842073962,3724615,523747328,512040960,0,0,0
20454842073962,20454942507897,3724615,523771904,512040960,0,24576,0
20454942507897,20455042977866,3724615,625823744,512045056,50245632,102051840,4096
20455042977866,20455143536399,3724615,630984704,517169152,512004096,5160960,5124096
20455143536399,20455244080357,3724615,630984704,517169152,512004096,0,0
20455244080357,20455344524527,3724615,630984704,517169152,512004096,0,0
20455344524527,20455445010240,3724615,643592192,517169152,512004096,12607488,0
20455445010240,20455546318988,3724615,666681344,517169152,512004096,23089152,0
20455546318988,20455646945169,3724615,688504832,517169152,512004096,21823488,0
20455646945169,20455748191693,3724615,714653696,517169152,512004096,26148864,0
20455748191693,20455849313034,3724615,737959936,517169152,512004096,23306240,0
20455849313034,20455950482460,3724615,760967168,517169152,512004096,23007232,0
20455950482460,20456051850750,3724615,783314944,517169152,512004096,22347776,0
20456051850750,20456153066968,3724615,804212736,517169152,512004096,20897792,0
20456153066968,20456254355148,3724615,826535936,517169152,512004096,22323200,0
20456254355148,20456355492916,3724615,849334272,517169152,512004096,22798336,0
20456355492916,20456456497223,3724615,868933632,517169152,512004096,19599360,0
20456456497223,20456557515872,3724615,892231680,517169152,512004096,23298048,0
20456557515872,20456658436708,3724615,915464192,517169152,512004096,23232512,0
20456658436708,20456759897154,3724615,939364352,517169152,512004096,23900160,0
20456759897154,20456860865380,3724615,962551808,517169152,512004096,23187456,0
20456860865380,20456962121234,3724615,987643904,517169152,512004096,25092096,0
20456962121234,20457063393227,3724615,1011339264,517169152,512004096,23695360,0
20457063393227,20457164599679,3724615,1037410304,517169152,512004096,26071040,0
20457164599679,20457265754549,3724615,1064263680,517169152,512004096,26853376,0
20457265754549,20457366813666,3724615,1086263296,517169152,512004096,21999616,0
20457366813666,20457468227965,3724615,1108582400,517169152,512004096,22319104,0
20457468227965,20457569874302,3724615,1134260224,517169152,512004096,25677824,0
20457569874302,20457671213680,3724615,1159577600,517169152,512004096,25317376,0
20457671213680,20457772543657,3724615,1184694272,517169152,512004096,25116672,0
20457772543657,20457873899274,3724615,1209876480,517169152,512004096,25182208,0
20457873899274,20457975127134,3724615,1237164032,517169152,512004096,27287552,0
20457975127134,20458076519045,3724615,1263198208,517169152,512004096,26034176,0
20458076519045,20458177984652,3724615,1287610368,517169152,512004096,24412160,0
20458177984652,20458279329377,3724615,1312407552,517169152,512004096,24797184,0
20458279329377,20458380551433,3724615,1336889344,517169152,512004096,24481792,0
20458380551433,20458481790959,3724615,1360150528,517169152,512004096,23261184,0
20458481790959,20458583224002,3724615,1384181760,517169152,512004096,24031232,0
20458583224002,20458684306101,3724615,1405456384,517169152,512004096,21274624,0
20458684306101,20458785490057,3724615,1426538496,517169152,512004096,21082112,0
20458785490057,20458886671075,3724615,1450369024,517169152,512004096,23830528,0
20458886671075,20458988072461,3724615,1471164416,517169152,512004096,20795392,0
20458988072461,20459089484896,3724615,1491562496,517169152,512004096,20398080,0
20459089484896,20459190810542,3724615,1510838272,517169152,512004096,19275776,0
20459190810542,20459291993774,3724615,1533050880,517169152,512004096,22212608,0
20459291993774,20459393498541,3724615,1559810048,517169152,512004096,26759168,0
20459393498541,20459494714736,3724615,1582211072,517169152,512004096,22401024,0
20459494714736,20459596018836,3724615,1605373952,517169152,512004096,23162880,0
20459596018836,20459697308284,3724615,1630531584,517169152,512004096,25157632,0
20459697308284,20459798686055,3724615,1648099328,517169152,512004096,17567744,0
20459798686055,20459900212130,3724615,1669591040,517169152,512004096,21491712,0
20459900212130,20460001481618,3724615,1688403968,517169152,512004096,18812928,0
20460001481618,20460102641313,3724615,1711415296,517169152,512004096,23011328,0
20460102641313,20460203798754,3724615,1731461120,517169152,512004096,20045824,0
20460203798754,20460304974027,3724615,1754677248,517169152,512004096,23216128,0
20460304974027,20460406284866,3724615,1781465088,517169152,512004096,26787840,0
20460406284866,20460507501932,3724615,1806991360,517169152,512004096,25526272,0
20460507501932,20460608827604,3724615,1828782080,517169152,512004096,21790720,0
20460608827604,20460710298949,3724615,1850605568,517169152,512004096,21823488,0
20460710298949,20460811595104,3724615,1873076224,517169152,512004096,22470656,0
20460811595104,20460912967788,3724615,1897074688,517169152,512004096,23998464,0
