sample_start_ns,sample_end_ns,cpu_idle_percent,cpu_iowait_percent,total_jiffies_delta,idle_jiffies_delta,iowait_jiffies_delta
27711430181734,27711530552034,68.844221,8.542714,199,137,17
27711530552034,27711630983328,81.500000,6.000000,200,163,12
27711630983328,27711731410996,83.838384,6.060606,198,166,12
27711731410996,27711831865522,84.000000,5.500000,200,168,11
27711831865522,27711932245525,81.500000,7.500000,200,163,15
27711932245525,27712032586281,74.000000,6.500000,200,148,13
27712032586281,27712132918908,83.417085,6.030151,199,166,12
27712132918908,27712233266636,83.000000,6.500000,200,166,13
27712233266636,27712333661322,84.422111,5.527638,199,168,11
27712333661322,27712434160046,83.582090,5.970149,201,168,12
27712434160046,27712534600908,82.587065,5.472637,201,166,11
27712534600908,27712634937563,84.422111,5.527638,199,168,11
27712634937563,27712735291896,79.207921,7.920792,202,160,16
27712735291896,27712835630133,83.084577,5.472637,201,167,11
27712835630133,27712935978142,84.500000,5.500000,200,169,11
27712935978142,27713036333319,75.757576,8.080808,198,150,16
27713036333319,27713136758143,82.673267,5.445545,202,167,11
27713136758143,27713237093909,83.500000,5.500000,200,167,11
27713237093909,27713337430974,84.000000,6.000000,200,168,12
27713337430974,27713437754087,83.919598,5.527638,199,167,11
27713437754087,27713538148164,83.084577,5.970149,201,167,12
27713538148164,27713638496116,83.838384,5.555556,198,166,11
27713638496116,27713738843873,81.683168,5.445545,202,165,11
27713738843873,27713839288819,77.000000,7.000000,200,154,14
27713839288819,27713939622831,83.000000,6.000000,200,166,12
27713939622831,27714039997190,77.000000,6.500000,200,154,13
27714039997190,27714140350068,83.582090,5.970149,201,168,12
27714140350068,27714240746688,83.084577,5.472637,201,167,11
27714240746688,27714341116843,82.089552,5.970149,201,165,12
27714341116843,27714441474074,84.422111,5.527638,199,168,11
27714441474074,27714541988225,83.168317,5.445545,202,168,11
27714541988225,27714642386313,83.919598,5.527638,199,167,11
27714642386313,27714742900158,82.089552,6.965174,201,165,14
27714742900158,27714843314376,81.188119,7.920792,202,164,16
27714843314376,27714943696493,84.924623,6.030151,199,169,12
27714943696493,27715044087804,74.000000,9.000000,200,148,18
27715044087804,27715144518779,84.000000,5.500000,200,168,11
27715144518779,27715244947881,83.084577,5.970149,201,167,12
27715244947881,27715345374709,83.000000,6.000000,200,166,12
27715345374709,27715445711285,81.000000,7.000000,200,162,14
27715445711285,27715546099087,83.582090,5.970149,201,168,12
27715546099087,27715646454233,82.500000,7.500000,200,165,15
27715646454233,27715746876950,83.663366,8.415842,202,169,17
27715746876950,27715847295748,87.500000,11.500000,200,175,23
27715847295748,27715947733288,85.000000,11.500000,200,170,23
27715947733288,27716048089242,80.597015,9.950249,201,162,20
27716048089242,27716148410491,88.000000,10.000000,200,176,20
27716148410491,27716248782919,86.567164,10.945274,201,174,22
27716248782919,27716349142231,88.442211,9.547739,199,176,19
27716349142231,27716449466748,88.500000,9.500000,200,177,19
27716449466748,27716549790005,88.944724,9.547739,199,177,19
27716549790005,27716650124900,86.567164,9.452736,201,174,19
