sample_start_ns,sample_end_ns,pid,read_bytes,write_bytes,cancelled_write_bytes,read_bytes_delta,write_bytes_delta
27711430181734,27711530552034,426450,188624896,24576,0,58195968,4096
27711530552034,27711630983328,426450,307531776,24576,0,118906880,0
27711630983328,27711731410996,426450,427683840,24576,0,120152064,0
27711731410996,27711831865522,426450,546062336,24576,0,118378496,0
27711831865522,27711932245525,426450,665403392,24576,0,119341056,0
27711932245525,27712032586281,426450,782307328,24576,0,116903936,0
27712032586281,27712132918908,426450,901402624,24576,0,119095296,0
27712132918908,27712233266636,426450,1021960192,24576,0,120557568,0
27712233266636,27712333661322,426450,1143123968,24576,0,121163776,0
27712333661322,27712434160046,426450,1262374912,24576,0,119250944,0
27712434160046,27712534600908,426450,1381593088,24576,0,119218176,0
27712534600908,27712634937563,426450,1501716480,24576,0,120123392,0
27712634937563,27712735291896,426450,1619787776,24576,0,118071296,0
27712735291896,27712835630133,426450,1740337152,24576,0,120549376,0
27712835630133,27712935978142,426450,1861378048,24576,0,121040896,0
27712935978142,27713036333319,426450,1980010496,24576,0,118632448,0
27713036333319,27713136758143,426450,2100199424,24576,0,120188928,0
27713136758143,27713237093909,426450,2219577344,24576,0,119377920,0
27713237093909,27713337430974,426450,2340007936,24576,0,120430592,0
27713337430974,27713437754087,426450,2459848704,24576,0,119840768,0
27713437754087,27713538148164,426450,2578522112,24576,0,118673408,0
27713538148164,27713638496116,426450,2698285056,24576,0,119762944,0
27713638496116,27713738843873,426450,2815356928,24576,0,117071872,0
27713738843873,27713839288819,426450,2934947840,24576,0,119590912,0
27713839288819,27713939622831,426450,3056402432,24576,0,121454592,0
27713939622831,27714039997190,426450,3175309312,24576,0,118906880,0
27714039997190,27714140350068,426450,3294633984,24576,0,119324672,0
27714140350068,27714240746688,426450,3414384640,24576,0,119750656,0
27714240746688,27714341116843,426450,3534643200,24576,0,120258560,0
27714341116843,27714441474074,426450,3656462336,24576,0,121819136,0
27714441474074,27714541988225,426450,3778158592,24576,0,121696256,0
27714541988225,27714642386313,426450,3896918016,24576,0,118759424,0
27714642386313,27714742900158,426450,4016246784,24576,0,119328768,0
27714742900158,27714843314376,426450,4138258432,24576,0,122011648,0
27714843314376,27714943696493,426450,4257898496,24576,0,119640064,0
27714943696493,27715044087804,426450,4376850432,24576,0,118951936,0
27715044087804,27715144518779,426450,4496785408,24576,0,119934976,0
27715144518779,27715244947881,426450,4616835072,24576,0,120049664,0
27715244947881,27715345374709,426450,4738007040,24576,0,121171968,0
27715345374709,27715445711285,426450,4859473920,24576,0,121466880,0
27715445711285,27715546099087,426450,4980424704,24576,0,120950784,0
27715546099087,27715646454233,426450,5042360320,24576,0,61935616,0
27715646454233,27715746876950,426450,5046554624,1859584,0,4194304,1835008
27715746876950,27715847295748,426450,5046554624,1859584,0,0,0
27715847295748,27715947733288,426450,5046554624,1859584,0,0,0
27715947733288,27716048089242,426450,5046554624,1859584,0,0,0
27716048089242,27716148410491,426450,5046554624,1859584,0,0,0
27716148410491,27716248782919,426450,5046554624,1859584,0,0,0
27716248782919,27716349142231,426450,5046554624,1859584,0,0,0
27716349142231,27716449466748,426450,5046554624,1859584,0,0,0
27716449466748,27716549790005,426450,5046554624,1859584,0,0,0
