sample_start_ns,sample_end_ns,psi_io_some_total_us,psi_io_full_total_us,psi_io_some_delta_us,psi_io_full_delta_us
27711430181734,27711530552034,17330056792,16505580695,32571,27167
27711530552034,27711630983328,17330116348,16505610115,59556,29420
27711630983328,27711731410996,17330176042,16505644261,59694,34146
27711731410996,27711831865522,17330240457,16505682062,64415,37801
27711831865522,27711932245525,17330299857,16505718237,59400,36175
27711932245525,27712032586281,17330339982,16505741492,40125,23255
27712032586281,27712132918908,17330402127,16505777916,62145,36424
27712132918908,27712233266636,17330464207,16505813700,62080,35784
27712233266636,27712333661322,17330528174,16505851374,63967,37674
27712333661322,27712434160046,17330593046,16505889103,64872,37729
27712434160046,27712534600908,17330654256,16505923737,61210,34634
27712534600908,27712634937563,17330717975,16505960586,63719,36849
27712634937563,27712735291896,17330773174,16505993041,55199,32455
27712735291896,27712835630133,17330835895,16506028811,62721,35770
27712835630133,27712935978142,17330901702,16506066797,65807,37986
27712935978142,27713036333319,17330946621,16506093394,44919,26597
27713036333319,27713136758143,17331008619,16506129007,61998,35613
27713136758143,27713237093909,17331072324,16506165669,63705,36662
27713237093909,27713337430974,17331136432,16506202937,64108,37268
27713337430974,27713437754087,17331200542,16506240804,64110,37867
27713437754087,27713538148164,17331263926,16506277950,63384,37146
27713538148164,27713638496116,17331324376,16506313630,60450,35680
27713638496116,27713738843873,17331383973,16506347534,59597,33904
27713738843873,27713839288819,17331429195,16506373775,45222,26241
27713839288819,27713939622831,17331490238,16506410156,61043,36381
27713939622831,27714039997190,17331536338,16506437176,46100,27020
27714039997190,27714140350068,17331602351,16506474564,66013,37388
27714140350068,27714240746688,17331666921,16506511234,64570,36670
27714240746688,27714341116843,17331726944,16506543561,60023,32327
27714341116843,27714441474074,17331791513,16506579128,64569,35567
27714441474074,27714541988225,17331856349,16506615862,64836,36734
27714541988225,27714642386313,17331920116,16506652328,63767,36466
27714642386313,27714742900158,17331979549,16506687430,59433,35102
27714742900158,27714843314376,17332039289,16506723754,59740,36324
27714843314376,27714943696493,17332104304,16506762754,65015,39000
27714943696493,27715044087804,17332148446,16506790389,44142,27635
27715044087804,27715144518779,17332212831,16506828609,64385,38220
27715144518779,27715244947881,17332276200,16506866274,63369,37665
27715244947881,27715345374709,17332337240,16506902509,61040,36235
27715345374709,27715445711285,17332394783,16506937613,57543,35104
27715445711285,27715546099087,17332460098,16506976177,65315,38564
27715546099087,27715646454233,17332518778,16507021751,58680,45574
27715646454233,27715746876950,17332585806,16507079868,67028,58117
27715746876950,27715847295748,17332669207,16507163023,83401,83155
27715847295748,27715947733288,17332743655,16507236787,74448,73764
27715947733288,27716048089242,17332797373,16507288663,53718,51876
27716048089242,27716148410491,17332884589,16507372945,87216,84282
27716148410491,27716248782919,17332967160,16507453357,82571,80412
27716248782919,27716349142231,17333055186,16507538041,88026,84684
27716349142231,27716449466748,17333144356,16507622817,89170,84776
27716449466748,27716549790005,17333235570,16507710847,91214,88030
27716549790005,27716650124900,17333316173,16507787531,80603,76684
