run_id,thread_count,io_threads,ssd_threads,query_id,thread_id,query_start_ns,query_end_ns,total_latency_ms,head_latency_ms,ex_latency_ms,io_issue_ms,io_wait_ms,batch_read_total_ms,posting_decode_ms,posting_parse_ms,distance_calc_ms,postings_touched,pages_read,requested_read_bytes,posting_elements_raw,metadata_read_bytes,code_logical_bytes,code_physical_bytes,payload_logical_bytes,payload_physical_bytes,distance_evaluated_count,duplicate_vector_count,coarse_candidate_count_before_dedupe,coarse_candidate_count_after_dedupe,rerank_candidate_count,final_result_count,coarse_candidate_hash,payload_page_hash,final_result_hash,recall,unique_payload_pages,payload_candidates,postings_with_payload,total_payload_page_spans,truth_count,coarse_recall,coarse_recall_after_dedupe,rerank_recall,final_recall,truth_recovered_by_head_result,truth_dropped_per_posting_topr,truth_dropped_global_topr,truth_dropped_rerank_topk,truth_missing_not_observed_in_scanned_posting,truth_missing_not_in_posting_reserved,read_header_dir_ms,scan_compact_codes_ms,merge_coarse_candidates_ms,build_payload_read_plan_ms,fetch_payload_and_rerank_ms,payload_read_wait_ms,payload_copy_ms,exact_distance_ms,result_insertion_ms
run_1777724284143,8,4,16,0,4,159495281293908,159495331667110,50.373000,10.417000,39.956000,0.000000,0.000000,36.015644,0.000000,0.176956,0.167671,64,128,524288,3145,0,0,0,0,0,2840,305,0,0,10,10,0,0,490021735528261118,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
run_1777724284143,8,4,16,1,2,159495281381190,159495330986510,49.605000,8.176000,41.429000,0.000000,0.000000,36.752562,0.000000,0.189352,0.185313,64,135,552960,3232,0,0,0,0,0,2943,289,0,0,10,10,0,0,17173023237003239355,0.800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
run_1777724284143,8,4,16,2,3,159495281387310,159495332161887,50.774000,13.722000,37.052000,0.000000,0.000000,35.399350,0.000000,0.161081,0.165991,64,113,462848,2540,0,0,0,0,0,2183,357,0,0,10,10,0,0,4144035358235762587,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
run_1777724284143,8,4,16,3,5,159495281496209,159495331475387,49.979000,9.990000,39.989000,0.000000,0.000000,35.835036,0.000000,0.130064,0.100239,64,78,319488,1595,0,0,0,0,0,1284,311,0,0,10,10,0,0,14862532870405576108,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
run_1777724284143,8,4,16,4,1,159495281507939,159495331669959,50.162000,9.926000,40.236000,0.000000,0.000000,35.899196,0.000000,0.179755,0.167198,64,129,528384,2852,0,0,0,0,0,2476,376,0,0,10,10,0,0,14390770101179265233,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
run_1777724284143,8,4,16,5,7,159495281510438,159495331158674,49.648000,9.090000,40.558000,0.000000,0.000000,35.722128,0.000000,0.217705,0.198261,62,136,557056,3275,0,0,0,0,0,2995,280,0,0,10,10,0,0,11524655164764389274,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
run_1777724284143,8,4,16,6,0,159495281510765,159495331623293,50.112000,9.082000,41.030000,0.000000,0.000000,36.305074,0.000000,0.208106,0.195518,61,137,561152,3476,0,0,0,0,0,3161,315,0,0,10,10,0,0,10415403728180192637,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
run_1777724284143,8,4,16,7,6,159495281658202,159495331767409,50.109000,9.687000,40.422000,0.000000,0.000000,34.970854,0.000000,0.126858,0.101793,64,105,430080,2312,0,0,0,0,0,1641,671,0,0,10,10,0,0,16224408989733346580,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
run_1777724284143,8,4,16,8,2,159495330987645,159495332885807,1.898000,0.765000,1.133000,0.000000,0.000000,1.012684,0.000000,0.173199,0.235242,64,127,520192,3000,0,0,0,0,0,2698,302,0,0,10,10,0,0,9052319213154478674,0.900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
run_1777724284143,8,4,16,9,7,159495331159163,159495333144735,1.985000,0.903000,1.082000,0.000000,0.000000,0.956377,0.000000,0.186117,0.160256,64,128,524288,2904,0,0,0,0,0,2527,377,0,0,10,10,0,0,10870006705612283287,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
