sample_start_ns,sample_end_ns,cpu_idle_percent,cpu_iowait_percent,total_jiffies_delta,idle_jiffies_delta,iowait_jiffies_delta
27899643057686,27899743703352,82.412060,10.050251,199,164,20
27899743703352,27899844142057,78.217822,9.405941,202,158,19
27899844142057,27899944531076,78.000000,9.500000,200,156,19
27899944531076,27900044902551,75.757576,10.606061,198,150,21
27900044902551,27900145312216,75.742574,9.900990,202,153,20
27900145312216,27900245738952,71.717172,11.616162,198,142,23
27900245738952,27900346141558,75.000000,9.500000,200,150,19
27900346141558,27900446547624,75.879397,9.547739,199,151,19
27900446547624,27900546969308,75.621891,11.442786,201,152,23
27900546969308,27900647381960,77.114428,9.452736,201,155,19
27900647381960,27900747767080,78.282828,10.101010,198,155,20
27900747767080,27900848176178,78.500000,10.000000,200,157,20
27900848176178,27900948572727,73.366834,12.060302,199,146,24
27900948572727,27901048995195,78.500000,10.000000,200,157,20
27901048995195,27901149406817,67.839196,6.532663,199,135,13
27901149406817,27901249913111,68.341709,8.040201,199,136,16
27901249913111,27901350302170,77.272727,10.101010,198,153,20
27901350302170,27901450775080,79.601990,9.452736,201,160,19
27901450775080,27901551330120,77.500000,10.000000,200,155,20
27901551330120,27901651764424,80.303030,9.595960,198,159,19
27901651764424,27901752151355,79.104478,9.950249,201,159,20
27901752151355,27901852625102,78.894472,10.050251,199,157,20
27901852625102,27901953131613,79.601990,9.950249,201,160,20
27901953131613,27902053532510,78.500000,11.000000,200,157,22
27902053532510,27902154071892,80.710660,9.644670,197,159,19
27902154071892,27902254709856,71.568627,11.764706,204,146,24
27902254709856,27902355101839,64.141414,6.565657,198,127,13
27902355101839,27902455483091,77.500000,9.500000,200,155,19
27902455483091,27902555868089,77.722772,9.405941,202,157,19
27902555868089,27902656359954,79.396985,9.547739,199,158,19
27902656359954,27902756976635,78.606965,9.452736,201,158,19
27902756976635,27902857474301,79.292929,10.101010,198,157,20
27902857474301,27902957927465,77.722772,10.396040,202,157,21
27902957927465,27903058432831,77.889447,10.050251,199,155,20
27903058432831,27903158839205,78.500000,9.500000,200,157,19
27903158839205,27903259245878,72.864322,11.055276,199,145,22
27903259245878,27903359626076,76.500000,9.000000,200,153,18
27903359626076,27903460028576,78.500000,9.500000,200,157,19
27903460028576,27903560447351,79.292929,9.595960,198,157,19
27903560447351,27903660845995,78.000000,10.000000,200,156,20
27903660845995,27903761256495,79.500000,9.500000,200,159,19
27903761256495,27903861772480,79.396985,10.050251,199,158,20
27903861772480,27903962286083,80.693069,9.900990,202,163,20
27903962286083,27904062756719,86.069652,9.950249,201,173,20
27904062756719,27904163101809,87.562189,9.950249,201,176,20
27904163101809,27904263481925,82.587065,10.945274,201,166,22
27904263481925,27904363841633,85.500000,10.000000,200,171,20
27904363841633,27904464224378,88.059701,9.950249,201,177,20
27904464224378,27904564597343,87.500000,10.000000,200,175,20
27904564597343,27904664916409,87.562189,9.452736,201,176,19
27904664916409,27904765314747,88.000000,10.000000,200,176,20
27904765314747,27904865684611,88.000000,10.000000,200,176,20
27904865684611,27904966192409,88.557214,9.950249,201,178,20
