sample_start_ns,sample_end_ns,device,sectors_read_delta,read_bytes_delta,read_bandwidth_mbs,io_in_progress,avg_queue_depth,weighted_io_ms_delta
27899643057686,27899743703352,nvme0n1p8,132272,67723264,641.716033,0,2.434283,245
27899743703352,27899844142057,nvme0n1p8,231352,118452224,1124.714260,34,34.986512,3514
27899844142057,27899944531076,nvme0n1p8,233840,119726080,1137.372281,3,34.844448,3498
27899944531076,27900044902551,nvme0n1p8,229256,117379072,1115.271109,0,34.192982,3432
27900044902551,27900145312216,nvme0n1p8,227328,116391936,1105.471271,0,34.598263,3474
27900145312216,27900245738952,nvme0n1p8,226600,116019200,1101.743775,53,34.512722,3466
27900245738952,27900346141558,nvme0n1p8,227112,116281344,1104.498535,24,34.381578,3452
27900346141558,27900446547624,nvme0n1p8,228112,116793344,1109.323539,100,34.818613,3496
27900446547624,27900546969308,nvme0n1p8,233160,119377920,1133.695948,64,34.434794,3458
27900546969308,27900647381960,nvme0n1p8,230384,117956608,1120.298939,36,34.716741,3486
27900647381960,27900747767080,nvme0n1p8,231432,118493184,1125.703752,0,33.999063,3413
27900747767080,27900848176178,nvme0n1p8,232856,119222272,1132.359727,6,33.443185,3358
27900848176178,27900948572727,nvme0n1p8,227840,116654080,1108.105817,0,34.533059,3467
27900948572727,27901048995195,nvme0n1p8,232000,118784000,1128.046863,33,35.270991,3542
27901048995195,27901149406817,nvme0n1p8,226392,115912704,1100.898149,29,34.966072,3511
27901149406817,27901249913111,nvme0n1p8,229768,117641216,1116.262492,0,34.057569,3423
27901249913111,27901350302170,nvme0n1p8,233088,119341056,1133.714183,64,34.445985,3458
27901350302170,27901450775080,nvme0n1p8,232208,118890496,1128.491376,39,34.009167,3417
27901450775080,27901551330120,nvme0n1p8,234120,119869440,1136.854068,52,34.180286,3437
27901551330120,27901651764424,nvme0n1p8,233728,119668736,1136.314939,0,34.231332,3438
27901651764424,27901752151355,nvme0n1p8,233096,119345152,1133.777127,26,34.456676,3459
27901752151355,27901852625102,nvme0n1p8,231680,118620160,1125.916007,0,33.511241,3367
27901852625102,27901953131613,nvme0n1p8,232528,119054336,1129.668729,63,34.724119,3490
27901953131613,27902053532510,nvme0n1p8,234760,120197120,1141.711973,66,34.780566,3492
27902053532510,27902154071892,nvme0n1p8,236072,120868864,1146.511237,37,34.474053,3466
27902154071892,27902254709856,nvme0n1p8,234168,119894016,1136.150208,0,33.983199,3420
27902254709856,27902355101839,nvme0n1p8,223824,114597888,1088.623406,31,34.335411,3447
27902355101839,27902455483091,nvme0n1p8,215400,110284800,1047.763194,64,31.450096,3157
27902455483091,27902555868089,nvme0n1p8,232968,119279616,1133.176356,0,34.337800,3447
27902555868089,27902656359954,nvme0n1p8,235808,120733696,1145.770605,10,33.465395,3363
27902656359954,27902756976635,nvme0n1p8,235960,120811520,1145.086904,0,33.771736,3398
27902756976635,27902857474301,nvme0n1p8,235240,120442880,1142.944765,0,34.140096,3431
27902857474301,27902957927465,nvme0n1p8,232016,118792192,1127.779932,0,34.115401,3427
27902957927465,27903058432831,nvme0n1p8,232192,118882304,1128.049223,2,33.709643,3388
27903058432831,27903158839205,nvme0n1p8,228936,117215232,1113.327290,0,33.414213,3355
27903158839205,27903259245878,nvme0n1p8,228456,116969472,1110.989717,24,33.852332,3399
27903259245878,27903359626076,nvme0n1p8,228888,117190656,1113.384123,2,33.771601,3390
27903359626076,27903460028576,nvme0n1p8,230584,118059008,1121.384863,0,33.594781,3373
27903460028576,27903560447351,nvme0n1p8,236056,120860672,1147.810444,0,33.151171,3329
27903560447351,27903660845995,nvme0n1p8,234992,120315904,1142.865909,103,33.197660,3333
27903660845995,27903761256495,nvme0n1p8,234688,120160256,1141.252658,117,34.289243,3443
27903761256495,27903861772480,nvme0n1p8,233960,119787520,1136.518547,0,33.865260,3404
27903861772480,27903962286083,nvme0n1p8,8192,4194304,39.795609,0,0.029847,3
27903962286083,27904062756719,nvme0n1p8,0,0,0.000000,0,0.000000,0
27904062756719,27904163101809,nvme0n1p8,0,0,0.000000,0,0.000000,0
27904163101809,27904263481925,nvme0n1p8,0,0,0.000000,0,0.000000,0
27904263481925,27904363841633,nvme0n1p8,0,0,0.000000,0,0.000000,0
27904363841633,27904464224378,nvme0n1p8,0,0,0.000000,0,0.000000,0
27904464224378,27904564597343,nvme0n1p8,0,0,0.000000,0,0.000000,0
27904564597343,27904664916409,nvme0n1p8,0,0,0.000000,0,0.000000,0
27904664916409,27904765314747,nvme0n1p8,0,0,0.000000,0,0.000000,0
27904765314747,27904865684611,nvme0n1p8,0,0,0.000000,0,0.000000,0
27904865684611,27904966192409,nvme0n1p8,0,0,0.000000,0,0.000000,0
