sample_start_ns,sample_end_ns,psi_io_some_total_us,psi_io_full_total_us,psi_io_some_delta_us,psi_io_full_delta_us
27899643057686,27899743703352,17481668107,16652785247,58404,56677
27899743703352,27899844142057,17481717327,16652831605,49220,46358
27899844142057,27899944531076,17481765126,16652876957,47799,45352
27899944531076,27900044902551,17481807125,16652916004,41999,39047
27900044902551,27900145312216,17481851276,16652958022,44151,42018
27900145312216,27900245738952,17481888684,16652994225,37408,36203
27900245738952,27900346141558,17481930341,16653031888,41657,37663
27900346141558,27900446547624,17481972449,16653073391,42108,41503
27900446547624,27900546969308,17482017308,16653116835,44859,43444
27900546969308,27900647381960,17482063572,16653161761,46264,44926
27900647381960,27900747767080,17482110272,16653207456,46700,45695
27900747767080,27900848176178,17482157852,16653254774,47580,47318
27900848176178,27900948572727,17482201662,16653297739,43810,42965
27900948572727,27901048995195,17482248862,16653343299,47200,45560
27901048995195,27901149406817,17482280788,16653365009,31926,21710
27901149406817,27901249913111,17482313881,16653388011,33093,23002
27901249913111,27901350302170,17482358501,16653431671,44620,43660
27901350302170,27901450775080,17482409692,16653480889,51191,49218
27901450775080,27901551330120,17482455977,16653526227,46285,45338
27901551330120,27901651764424,17482506328,16653575617,50351,49390
27901651764424,27901752151355,17482557972,16653626144,51644,50527
27901752151355,27901852625102,17482605489,16653673273,47517,47129
27901852625102,27901953131613,17482656378,16653723578,50889,50305
27901953131613,27902053532510,17482705688,16653772096,49310,48518
27902053532510,27902154071892,17482756758,16653822551,51070,50455
27902154071892,27902254709856,17482797850,16653862467,41092,39916
27902254709856,27902355101839,17482825988,16653880421,28138,17954
27902355101839,27902455483091,17482871619,16653922816,45631,42395
27902455483091,27902555868089,17482919774,16653968989,48155,46173
27902555868089,27902656359954,17482969071,16654016609,49297,47620
27902656359954,27902756976635,17483018388,16654063300,49317,46691
27902756976635,27902857474301,17483066906,16654111287,48518,47987
27902857474301,27902957927465,17483114660,16654157163,47754,45876
27902957927465,27903058432831,17483161573,16654201747,46913,44584
27903058432831,27903158839205,17483209849,16654247856,48276,46109
27903158839205,27903259245878,17483249126,16654286240,39277,38384
27903259245878,27903359626076,17483292776,16654324827,43650,38587
27903359626076,27903460028576,17483341061,16654370919,48285,46092
27903460028576,27903560447351,17483389799,16654417665,48738,46746
27903560447351,27903660845995,17483438909,16654465504,49110,47839
27903660845995,27903761256495,17483488632,16654514366,49723,48862
27903761256495,27903861772480,17483538415,16654563312,49783,48946
27903861772480,27903962286083,17483593531,16654617847,55116,54535
27903962286083,27904062756719,17483669622,16654693097,76091,75250
27904062756719,27904163101809,17483754658,16654777243,85036,84146
27904163101809,27904263481925,17483817543,16654839044,62885,61801
27904263481925,27904363841633,17483891142,16654910870,73599,71826
27904363841633,27904464224378,17483979957,16654998952,88815,88082
27904464224378,27904564597343,17484064996,16655083200,85039,84248
27904564597343,27904664916409,17484151548,16655168588,86552,85388
27904664916409,27904765314747,17484239977,16655255704,88429,87116
27904765314747,27904865684611,17484328100,16655343263,88123,87559
27904865684611,27904966192409,17484418107,16655432991,90007,89728
