run_id,thread_count,io_threads,ssd_threads,query_id,thread_id,query_start_ns,query_end_ns,total_latency_ms,head_latency_ms,ex_latency_ms,io_issue_ms,io_wait_ms,batch_read_total_ms,posting_decode_ms,posting_parse_ms,distance_calc_ms,postings_touched,pages_read,requested_read_bytes,posting_elements_raw,distance_evaluated_count,duplicate_vector_count,final_result_count,recall
run_1777515981013,2,4,40,0,0,27899734682012,27899739479552,4.797000,2.766000,2.031000,0.000000,0.000000,1.345825,0.000000,0.096682,0.093858,64,128,524288,3145,2840,305,10,1.000000
run_1777515981013,2,4,40,1,1,27899734782828,27899740040299,5.257000,3.523000,1.734000,0.000000,0.000000,1.044689,0.000000,0.112126,0.110154,64,135,552960,3232,2943,289,10,0.800000
run_1777515981013,2,4,40,2,0,27899739479628,27899740304725,0.825000,0.296000,0.529000,0.000000,0.000000,0.503764,0.000000,0.076924,0.080369,64,113,462848,2540,2183,357,10,1.000000
run_1777515981013,2,4,40,3,1,27899740040442,27899740837903,0.798000,0.315000,0.483000,0.000000,0.000000,0.460020,0.000000,0.067941,0.060185,64,78,319488,1595,1284,311,10,1.000000
run_1777515981013,2,4,40,4,0,27899740304795,27899741127012,0.822000,0.246000,0.576000,0.000000,0.000000,0.555472,0.000000,0.098993,0.087691,64,129,528384,2852,2476,376,10,1.000000
run_1777515981013,2,4,40,5,1,27899740837965,27899741840025,1.002000,0.277000,0.725000,0.000000,0.000000,0.705174,0.000000,0.108448,0.106965,62,136,557056,3275,2995,280,10,1.000000
run_1777515981013,2,4,40,6,0,27899741127079,27899742032911,0.906000,0.222000,0.684000,0.000000,0.000000,0.668454,0.000000,0.104507,0.105034,61,137,561152,3476,3161,315,10,1.000000
run_1777515981013,2,4,40,7,1,27899741840088,27899742653541,0.814000,0.259000,0.555000,0.000000,0.000000,0.541286,0.000000,0.089025,0.060578,64,105,430080,2312,1641,671,10,1.000000
run_1777515981013,2,4,40,8,0,27899742032986,27899742879874,0.847000,0.233000,0.614000,0.000000,0.000000,0.598905,0.000000,0.092524,0.090876,64,127,520192,3000,2698,302,10,0.900000
run_1777515981013,2,4,40,9,1,27899742653603,27899743564195,0.910000,0.243000,0.667000,0.000000,0.000000,0.652183,0.000000,0.102083,0.103779,64,128,524288,2904,2527,377,10,1.000000
run_1777515981013,2,4,40,10,0,27899742879944,27899743786440,0.906000,0.238000,0.668000,0.000000,0.000000,0.653203,0.000000,0.099086,0.103503,64,139,569344,3325,3040,285,10,1.000000
run_1777515981013,2,4,40,11,1,27899743564268,27899744384596,0.821000,0.254000,0.567000,0.000000,0.000000,0.552321,0.000000,0.094761,0.084559,63,109,446464,2397,2143,254,10,1.000000
run_1777515981013,2,4,40,12,0,27899743786485,27899744617059,0.831000,0.256000,0.575000,0.000000,0.000000,0.559380,0.000000,0.090064,0.081547,61,122,499712,2847,2525,322,10,1.000000
