sample_start_ns,sample_end_ns,cpu_idle_percent,cpu_iowait_percent,total_jiffies_delta,idle_jiffies_delta,iowait_jiffies_delta
29246688463196,29246788888301,82.587065,9.950249,201,166,20
29246788888301,29246889464647,75.000000,11.500000,200,150,23
29246889464647,29246989864405,76.884422,11.055276,199,153,22
29246989864405,29247090427845,79.207921,9.900990,202,160,20
29247090427845,29247191131191,79.702970,9.900990,202,161,20
29247191131191,29247291606052,80.402010,10.050251,199,160,20
29247291606052,29247392019461,79.702970,9.900990,202,161,20
29247392019461,29247492402246,80.710660,10.152284,197,159,20
29247492402246,29247592865185,75.621891,8.955224,201,152,18
29247592865185,29247693511796,80.000000,10.000000,200,160,20
29247693511796,29247794126096,80.000000,10.000000,200,160,20
29247794126096,29247894614779,75.124378,10.945274,201,151,22
29247894614779,29247995017452,76.884422,10.050251,199,153,20
29247995017452,29248095446356,77.889447,12.060302,199,155,24
29248095446356,29248195930383,80.808081,9.595960,198,160,19
29248195930383,29248296324698,79.601990,10.447761,201,160,21
29248296324698,29248396734363,79.899497,10.552764,199,159,21
29248396734363,29248497123598,80.000000,10.000000,200,160,20
29248497123598,29248597518886,79.500000,9.500000,200,159,19
29248597518886,29248697917662,81.094527,9.452736,201,163,19
29248697917662,29248798624125,80.904523,10.050251,199,161,20
29248798624125,29248899207022,78.000000,9.500000,200,156,19
29248899207022,29248999727754,76.616915,9.452736,201,154,19
29248999727754,29249100244565,78.391960,11.557789,199,156,23
29249100244565,29249200721043,80.000000,10.000000,200,160,20
29249200721043,29249301118277,80.198020,9.900990,202,162,20
29249301118277,29249401507381,76.884422,10.552764,199,153,21
29249401507381,29249501904538,79.899497,9.547739,199,159,19
29249501904538,29249602316976,79.207921,9.405941,202,160,19
29249602316976,29249702824058,80.500000,9.500000,200,161,19
29249702824058,29249803245490,82.587065,9.950249,201,166,20
29249803245490,29249903692384,81.094527,9.452736,201,163,19
29249903692384,29250004096015,84.500000,11.000000,200,169,22
29250004096015,29250104488002,81.683168,13.366337,202,165,27
29250104488002,29250204949383,85.643564,9.900990,202,173,20
29250204949383,29250305322397,76.767677,9.090909,198,152,18
29250305322397,29250405722925,82.587065,9.950249,201,166,20
29250405722925,29250506100359,87.437186,9.547739,199,174,19
29250506100359,29250606499214,86.138614,9.900990,202,174,20
29250606499214,29250706930417,87.373737,9.595960,198,173,19
29250706930417,29250807302847,87.562189,9.950249,201,176,20
29250807302847,29250907592121,82.500000,11.000000,200,165,22
