sample_start_ns,sample_end_ns,psi_io_some_total_us,psi_io_full_total_us,psi_io_some_delta_us,psi_io_full_delta_us
29194634753799,29194735200210,18462858067,17604666075,43662,38626
29194735200210,29194835670639,18462896509,17604687537,38442,21462
29194835670639,29194936079566,18462921431,17604710485,24922,22948
29194936079566,29195036510595,18462960381,17604747067,38950,36582
29195036510595,29195136897235,18462999011,17604783466,38630,36399
29195136897235,29195237308250,18463050323,17604833028,51312,49562
29195237308250,29195337692348,18463092461,17604870156,42138,37128
29195337692348,29195438108750,18463141209,17604917749,48748,47593
29195438108750,29195538513171,18463188336,17604964113,47127,46364
29195538513171,29195638899544,18463235269,17605010444,46933,46331
29195638899544,29195739323971,18463281891,17605056264,46622,45820
29195739323971,29195839795827,18463322696,17605094827,40805,38563
29195839795827,29195940193437,18463363780,17605134683,41084,39856
29195940193437,29196040601577,18463405448,17605175069,41668,40386
29196040601577,29196141014202,18463439953,17605208068,34505,32999
29196141014202,29196241419529,18463487905,17605255408,47952,47340
29196241419529,29196341816845,18463531724,17605298255,43819,42847
29196341816845,29196442228621,18463580768,17605346703,49044,48448
29196442228621,29196543225006,18463625496,17605381095,44728,34392
29196543225006,29196643638409,18463662135,17605414478,36639,33383
29196643638409,29196744021939,18463708267,17605445673,46132,31195
29196744021939,29196844440065,18463740769,17605475907,32502,30234
29196844440065,29196944813006,18463774918,17605507166,34149,31259
29196944813006,29197045222843,18463808300,17605536341,33382,29175
29197045222843,29197145646798,18463838878,17605561747,30578,25406
29197145646798,29197246141749,18463889266,17605610069,50388,48322
29197246141749,29197346568392,18463929110,17605646245,39844,36176
29197346568392,29197447100696,18463979782,17605695242,50672,48997
29197447100696,29197547647107,18464032814,17605743661,53032,48419
29197547647107,29197648114357,18464086443,17605794587,53629,50926
29197648114357,29197748707615,18464139904,17605844554,53461,49967
29197748707615,29197849163413,18464182652,17605886245,42748,41691
29197849163413,29197949640682,18464231197,17605928622,48545,42377
29197949640682,29198050017510,18464274286,17605963499,43089,34877
29198050017510,29198150438187,18464317064,17606004351,42778,40852
29198150438187,29198250845669,18464365206,17606051783,48142,47432
29198250845669,29198351211990,18464410714,17606096296,45508,44513
29198351211990,29198451575851,18464461277,17606145689,50563,49393
29198451575851,29198551940836,18464509542,17606193269,48265,47580
29198551940836,29198652338342,18464556450,17606234988,46908,41719
29198652338342,29198752720225,18464605199,17606280693,48749,45705
29198752720225,29198853166579,18464642649,17606315837,37450,35144
29198853166579,29198953566428,18464693681,17606362714,51032,46877
29198953566428,29199053897738,18464755949,17606420517,62268,57803
29199053897738,29199154297314,18464821882,17606483821,65933,63304
29199154297314,29199254704597,18464871420,17606530057,49538,46236
29199254704597,29199355129850,18464912240,17606566953,40820,36896
29199355129850,29199455529619,18464970919,17606624856,58679,57903
29199455529619,29199555917016,18465019423,17606670502,48504,45646
29199555917016,29199656250544,18465071005,17606718303,51582,47801
29199656250544,29199756583138,18465128507,17606770411,57502,52108
29199756583138,29199856986170,18465162408,17606800928,33901,30517
