sample_start_ns,sample_end_ns,cpu_idle_percent,cpu_iowait_percent,total_jiffies_delta,idle_jiffies_delta,iowait_jiffies_delta
25164623238049,25164723738685,61.500000,8.500000,200,123,17
25164723738685,25164824296832,66.169154,7.960199,201,133,16
25164824296832,25164924959859,67.326733,10.396040,202,136,21
25164924959859,25165026263241,53.500000,8.000000,200,107,16
25165026263241,25165127456845,59.701493,8.955224,201,120,18
25165127456845,25165228780124,60.000000,8.500000,200,120,17
25165228780124,25165329978191,64.500000,8.500000,200,129,17
25165329978191,25165431300695,69.801980,11.386139,202,141,23
25165431300695,25165532415884,66.666667,10.945274,201,134,22
25165532415884,25165633105715,68.656716,9.452736,201,138,19
25165633105715,25165733846052,74.626866,13.432836,201,150,27
25165733846052,25165835139084,73.762376,9.900990,202,149,20
25165835139084,25165936209418,65.517241,9.359606,203,133,19
25165936209418,25166037378566,71.287129,9.405941,202,144,19
25166037378566,25166138634552,77.832512,9.359606,203,158,19
25166138634552,25166239801647,75.621891,8.955224,201,152,18
25166239801647,25166341080888,76.119403,9.452736,201,153,19
25166341080888,25166441982460,77.114428,8.457711,201,155,17
25166441982460,25166543017158,70.149254,8.955224,201,141,18
25166543017158,25166644323331,71.428571,9.359606,203,145,19
25166644323331,25166744960422,79.104478,9.452736,201,159,19
25166744960422,25166846173344,76.119403,9.950249,201,153,20
25166846173344,25166947210216,75.124378,9.452736,201,151,19
25166947210216,25167048419932,75.369458,9.852217,203,153,20
25167048419932,25167149757104,75.742574,9.900990,202,153,20
25167149757104,25167250877166,80.597015,9.452736,201,162,19
25167250877166,25167351632057,74.257426,9.900990,202,150,20
25167351632057,25167453128715,75.369458,9.852217,203,153,20
25167453128715,25167554328293,68.811881,9.405941,202,139,19
25167554328293,25167655480630,69.306931,8.910891,202,140,18
25167655480630,25167756752281,74.874372,9.547739,199,149,19
25167756752281,25167857337011,76.616915,8.457711,201,154,17
25167857337011,25167958605791,76.237624,8.910891,202,154,18
25167958605791,25168059668063,75.500000,9.000000,200,151,18
25168059668063,25168160821051,78.500000,10.000000,200,157,20
25168160821051,25168261514295,76.732673,9.405941,202,155,19
25168261514295,25168362947621,77.832512,9.359606,203,158,19
25168362947621,25168464227299,77.339901,9.359606,203,157,19
25168464227299,25168565451438,67.980296,8.374384,203,138,17
25168565451438,25168666659789,39.500000,6.500000,200,79,13
25168666659789,25168767826727,57.000000,9.500000,200,114,19
25168767826727,25168868491977,71.782178,9.900990,202,145,20
25168868491977,25168970093105,71.356784,9.547739,199,142,19
25168970093105,25169071280857,68.316832,9.900990,202,138,20
25169071280857,25169172311206,74.626866,9.950249,201,150,20
25169172311206,25169273465827,76.119403,9.452736,201,153,19
25169273465827,25169374645514,74.509804,9.803922,204,152,20
25169374645514,25169475792087,75.000000,10.000000,200,150,20
25169475792087,25169577082145,68.159204,8.955224,201,137,18
25169577082145,25169678418640,69.801980,8.415842,202,141,17
25169678418640,25169779489240,74.129353,9.950249,201,149,20
25169779489240,25169880590181,65.346535,8.910891,202,132,18
25169880590181,25169982217659,47.761194,7.960199,201,96,16
25169982217659,25170083275311,63.366337,9.405941,202,128,19
25170083275311,25170184633415,71.782178,8.415842,202,145,17
25170184633415,25170285947503,62.686567,7.462687,201,126,15
25170285947503,25170386990772,66.000000,8.000000,200,132,16
25170386990772,25170488223713,67.156863,8.823529,204,137,18
25170488223713,25170589458971,63.681592,8.955224,201,128,18
25170589458971,25170690582856,63.000000,9.000000,200,126,18
25170690582856,25170791819061,64.356436,8.910891,202,130,18
25170791819061,25170893057655,66.995074,8.866995,203,136,18
25170893057655,25170994273385,65.326633,8.542714,199,130,17
25170994273385,25171094768199,74.000000,8.000000,200,148,16
25171094768199,25171196143923,71.000000,8.500000,200,142,17
25171196143923,25171297175366,70.297030,8.415842,202,142,17
25171297175366,25171398346019,69.651741,9.452736,201,140,19
25171398346019,25171498752493,72.636816,10.945274,201,146,22
25171498752493,25171599942758,59.203980,8.457711,201,119,17
25171599942758,25171701170859,62.686567,9.950249,201,126,20
25171701170859,25171802349990,52.763819,6.532663,199,105,13
25171802349990,25171903629492,60.696517,6.965174,201,122,14
25171903629492,25172004513754,70.646766,8.457711,201,142,17
25172004513754,25172105628446,71.641791,8.457711,201,144,17
25172105628446,25172206778964,67.821782,7.920792,202,137,16
25172206778964,25172307955517,71.641791,8.457711,201,144,17
25172307955517,25172409192784,72.636816,8.955224,201,146,18
25172409192784,25172510283555,67.661692,8.457711,201,136,17
25172510283555,25172611515999,66.000000,9.000000,200,132,18
25172611515999,25172712064378,66.500000,8.500000,200,133,17
25172712064378,25172813146227,69.950739,8.866995,203,142,18
25172813146227,25172914117414,72.139303,8.457711,201,145,17
25172914117414,25173015339139,64.356436,8.910891,202,130,18
25173015339139,25173116604136,33.500000,8.000000,200,67,16
25173116604136,25173217723564,62.376238,7.920792,202,126,16
25173217723564,25173318988017,71.000000,9.500000,200,142,19
25173318988017,25173420207160,72.361809,7.035176,199,144,14
25173420207160,25173521398374,68.159204,8.457711,201,137,17
25173521398374,25173622557804,58.793970,10.552764,199,117,21
25173622557804,25173723888660,63.861386,8.910891,202,129,18
25173723888660,25173825206006,72.864322,9.045226,199,145,18
25173825206006,25173926067206,71.921182,8.866995,203,146,18
25173926067206,25174027240890,71.782178,8.910891,202,145,18
25174027240890,25174128332404,70.646766,9.452736,201,142,19
25174128332404,25174229418942,70.935961,8.866995,203,144,18
25174229418942,25174330816267,78.109453,8.457711,201,157,17
25174330816267,25174431965098,72.139303,7.462687,201,145,15
25174431965098,25174533077942,64.179104,9.452736,201,129,19
25174533077942,25174634362571,64.215686,9.313725,204,131,19
25174634362571,25174735608501,69.000000,9.000000,200,138,18
25174735608501,25174836701978,72.864322,9.045226,199,145,18
25174836701978,25174937864085,71.144279,8.955224,201,143,18
25174937864085,25175039114379,70.935961,8.866995,203,144,18
25175039114379,25175140315971,70.707071,9.090909,198,140,18
25175140315971,25175240931234,56.716418,7.960199,201,114,16
25175240931234,25175342255221,63.184080,7.462687,201,127,15
25175342255221,25175443545371,63.184080,8.955224,201,127,18
25175443545371,25175544686139,62.000000,10.500000,200,124,21
25175544686139,25175645817307,38.118812,5.445545,202,77,11
25175645817307,25175747039302,50.738916,6.896552,203,103,14
25175747039302,25175848387003,57.920792,7.920792,202,117,16
25175848387003,25175949724716,69.651741,8.457711,201,140,17
25175949724716,25176051037764,66.666667,8.457711,201,134,17
25176051037764,25176152070758,56.000000,7.000000,200,112,14
