sample_start_ns,sample_end_ns,device,sectors_read_delta,read_bytes_delta,read_bandwidth_mbs,io_in_progress,avg_queue_depth,weighted_io_ms_delta
25164623238049,25164723738685,nvme1n1p3,0,0,0.000000,0,13.373050,1344
25164723738685,25164824296832,nvme1n1p3,0,0,0.000000,0,0.000000,0
25164824296832,25164924959859,nvme1n1p3,72,36864,0.349247,0,0.456970,46
25164924959859,25165026263241,nvme1n1p3,104,53248,0.501279,0,0.009871,1
25165026263241,25165127456845,nvme1n1p3,24,12288,0.115805,0,0.000000,0
25165127456845,25165228780124,nvme1n1p3,0,0,0.000000,0,0.000000,0
25165228780124,25165329978191,nvme1n1p3,0,0,0.000000,0,0.355738,36
25165329978191,25165431300695,nvme1n1p3,0,0,0.000000,30,0.000000,0
25165431300695,25165532415884,nvme1n1p3,56,28672,0.270422,0,19.284937,1950
25165532415884,25165633105715,nvme1n1p3,0,0,0.000000,1,0.000000,0
25165633105715,25165733846052,nvme1n1p3,64,32768,0.310203,0,0.784194,79
25165733846052,25165835139084,nvme1n1p3,48,24576,0.231383,0,0.000000,0
25165835139084,25165936209418,nvme1n1p3,24,12288,0.115946,0,0.009894,1
25165936209418,25166037378566,nvme1n1p3,24,12288,0.115833,0,0.000000,0
25166037378566,25166138634552,nvme1n1p3,56,28672,0.270046,0,0.464170,47
25166138634552,25166239801647,nvme1n1p3,56,28672,0.270283,0,0.088962,9
25166239801647,25166341080888,nvme1n1p3,80,40960,0.385691,0,0.039495,4
25166341080888,25166441982460,nvme1n1p3,48,24576,0.232281,0,0.000000,0
25166441982460,25166543017158,nvme1n1p3,88,45056,0.425287,0,0.009898,1
25166543017158,25166644323331,nvme1n1p3,0,0,0.000000,2,0.000000,0
25166644323331,25166744960422,nvme1n1p3,80,40960,0.388152,0,1.083100,109
25166744960422,25166846173344,nvme1n1p3,72,36864,0.347349,0,0.009880,1
25166846173344,25166947210216,nvme1n1p3,128,65536,0.618586,0,0.009897,1
25166947210216,25167048419932,nvme1n1p3,64,32768,0.308765,0,0.009880,1
25167048419932,25167149757104,nvme1n1p3,144,73728,0.693847,0,0.009868,1
25167149757104,25167250877166,nvme1n1p3,0,0,0.000000,2,0.000000,0
25167250877166,25167351632057,nvme1n1p3,80,40960,0.387698,0,1.061983,107
25167351632057,25167453128715,nvme1n1p3,72,36864,0.346378,0,0.059115,6
25167453128715,25167554328293,nvme1n1p3,88,45056,0.424594,0,0.000000,0
25167554328293,25167655480630,nvme1n1p3,96,49152,0.463410,0,0.009886,1
25167655480630,25167756752281,nvme1n1p3,48,24576,0.231432,0,0.009874,1
25167756752281,25167857337011,nvme1n1p3,24,12288,0.116506,0,0.000000,0
25167857337011,25167958605791,nvme1n1p3,0,0,0.000000,1,0.000000,0
25167958605791,25168059668063,nvme1n1p3,48,24576,0.231911,0,0.494744,50
25168059668063,25168160821051,nvme1n1p3,0,0,0.000000,3,0.000000,0
25168160821051,25168261514295,nvme1n1p3,136,69632,0.659491,0,1.022909,103
25168261514295,25168362947621,nvme1n1p3,0,0,0.000000,1,0.000000,0
25168362947621,25168464227299,nvme1n1p3,48,24576,0.231414,0,0.523303,53
25168464227299,25168565451438,nvme1n1p3,56,28672,0.270131,0,0.009879,1
25168565451438,25168666659789,nvme1n1p3,176,90112,0.849115,0,0.019761,2
25168666659789,25168767826727,nvme1n1p3,112,57344,0.540567,0,0.009885,1
25168767826727,25168868491977,nvme1n1p3,184,94208,0.892500,0,0.019868,2
25168868491977,25168970093105,nvme1n1p3,120,61440,0.576704,0,0.019685,2
25168970093105,25169071280857,nvme1n1p3,0,0,0.000000,0,0.000000,0
25169071280857,25169172311206,nvme1n1p3,0,0,0.000000,0,0.000000,0
25169172311206,25169273465827,nvme1n1p3,24,12288,0.115850,0,0.227375,23
25169273465827,25169374645514,nvme1n1p3,0,0,0.000000,0,0.000000,0
25169374645514,25169475792087,nvme1n1p3,0,0,0.000000,0,0.000000,0
25169475792087,25169577082145,nvme1n1p3,24,12288,0.115695,0,0.236943,24
25169577082145,25169678418640,nvme1n1p3,0,0,0.000000,0,0.000000,0
25169678418640,25169779489240,nvme1n1p3,64,32768,0.309190,0,0.455127,46
25169779489240,25169880590181,nvme1n1p3,24,12288,0.115911,0,0.000000,0
25169880590181,25169982217659,nvme1n1p3,32,16384,0.153748,12,0.777349,79
25169982217659,25170083275311,nvme1n1p3,24,12288,0.115961,0,0.296860,30
25170083275311,25170184633415,nvme1n1p3,72,36864,0.346852,0,1.608160,163
25170184633415,25170285947503,nvme1n1p3,0,0,0.000000,0,0.039481,4
25170285947503,25170386990772,nvme1n1p3,0,0,0.000000,0,0.000000,0
25170386990772,25170488223713,nvme1n1p3,0,0,0.000000,0,0.000000,0
25170488223713,25170589458971,nvme1n1p3,88,45056,0.424445,0,0.622313,63
25170589458971,25170690582856,nvme1n1p3,0,0,0.000000,1,0.000000,0
25170690582856,25170791819061,nvme1n1p3,32,16384,0.154342,0,0.227191,23
25170791819061,25170893057655,nvme1n1p3,56,28672,0.270092,0,0.493883,50
25170893057655,25170994273385,nvme1n1p3,0,0,0.000000,1,0.000000,0
25170994273385,25171094768199,nvme1n1p3,24,12288,0.116610,0,0.636849,64
25171094768199,25171196143923,nvme1n1p3,80,40960,0.385324,0,0.019729,2
25171196143923,25171297175366,nvme1n1p3,24,12288,0.115991,0,0.000000,0
25171297175366,25171398346019,nvme1n1p3,0,0,0.000000,2,0.000000,0
25171398346019,25171498752493,nvme1n1p3,32,16384,0.155617,0,0.836599,84
25171498752493,25171599942758,nvme1n1p3,0,0,0.000000,0,0.000000,0
25171599942758,25171701170859,nvme1n1p3,56,28672,0.270120,0,0.237088,24
25171701170859,25171802349990,nvme1n1p3,24,12288,0.115822,0,0.019767,2
25171802349990,25171903629492,nvme1n1p3,0,0,0.000000,1,0.000000,0
25171903629492,25172004513754,nvme1n1p3,56,28672,0.271041,0,0.664127,67
25172004513754,25172105628446,nvme1n1p3,80,40960,0.386319,0,0.009890,1
25172105628446,25172206778964,nvme1n1p3,0,0,0.000000,2,0.000000,0
25172206778964,25172307955517,nvme1n1p3,48,24576,0.231650,0,0.454651,46
25172307955517,25172409192784,nvme1n1p3,24,12288,0.115755,0,0.484011,49
25172409192784,25172510283555,nvme1n1p3,0,0,0.000000,1,0.000000,0
25172510283555,25172611515999,nvme1n1p3,56,28672,0.270109,0,0.681600,69
25172611515999,25172712064378,nvme1n1p3,24,12288,0.116548,0,0.000000,0
25172712064378,25172813146227,nvme1n1p3,0,0,0.000000,0,0.000000,0
25172813146227,25172914117414,nvme1n1p3,88,45056,0.425555,0,0.237692,24
25172914117414,25173015339139,nvme1n1p3,0,0,0.000000,0,0.000000,0
25173015339139,25173116604136,nvme1n1p3,0,0,0.000000,0,0.000000,0
25173116604136,25173217723564,nvme1n1p3,112,57344,0.540821,0,0.326347,33
25173217723564,25173318988017,nvme1n1p3,24,12288,0.115724,0,0.009875,1
25173318988017,25173420207160,nvme1n1p3,112,57344,0.540288,0,0.009880,1
25173420207160,25173521398374,nvme1n1p3,0,0,0.000000,0,0.000000,0
25173521398374,25173622557804,nvme1n1p3,32,16384,0.154459,0,0.000000,0
25173622557804,25173723888660,nvme1n1p3,24,12288,0.115648,0,0.009869,1
25173723888660,25173825206006,nvme1n1p3,0,0,0.000000,1,0.000000,0
25173825206006,25173926067206,nvme1n1p3,56,28672,0.271103,0,0.337097,34
25173926067206,25174027240890,nvme1n1p3,24,12288,0.115828,0,0.000000,0
25174027240890,25174128332404,nvme1n1p3,0,0,0.000000,1,0.000000,0
25174128332404,25174229418942,nvme1n1p3,24,12288,0.115928,0,0.237420,24
25174229418942,25174330816267,nvme1n1p3,56,28672,0.269669,0,0.986219,100
25174330816267,25174431965098,nvme1n1p3,56,28672,0.270332,0,0.000000,0
25174431965098,25174533077942,nvme1n1p3,24,12288,0.115898,0,0.000000,0
25174533077942,25174634362571,nvme1n1p3,0,0,0.000000,0,0.000000,0
25174634362571,25174735608501,nvme1n1p3,56,28672,0.270073,0,0.237047,24
25174735608501,25174836701978,nvme1n1p3,24,12288,0.115920,0,0.000000,0
25174836701978,25174937864085,nvme1n1p3,64,32768,0.308910,0,0.009885,1
25174937864085,25175039114379,nvme1n1p3,88,45056,0.424381,0,0.029630,3
25175039114379,25175140315971,nvme1n1p3,56,28672,0.270191,0,0.009881,1
25175140315971,25175240931234,nvme1n1p3,0,0,0.000000,0,0.000000,0
25175240931234,25175342255221,nvme1n1p3,0,0,0.000000,0,0.000000,0
25175342255221,25175443545371,nvme1n1p3,0,0,0.000000,0,0.000000,0
25175443545371,25175544686139,nvme1n1p3,64,32768,0.308975,0,0.316391,32
25175544686139,25175645817307,nvme1n1p3,80,40960,0.386256,0,0.909710,92
25175645817307,25175747039302,nvme1n1p3,0,0,0.000000,1,0.000000,0
25175747039302,25175848387003,nvme1n1p3,24,12288,0.115629,0,0.592021,60
25175848387003,25175949724716,nvme1n1p3,48,24576,0.231281,0,0.009868,1
25175949724716,25176051037764,nvme1n1p3,80,40960,0.385562,0,0.009870,1
25176051037764,25176152070758,nvme1n1p3,72,36864,0.347968,0,0.009898,1
25176152070758,25176253346943,nvme1n1p3,48,24576,0.231422,0,0.582565,59
25176253346943,25176354858382,nvme1n1p3,48,24576,0.230885,0,0.000000,0
25176354858382,25176456120316,nvme1n1p3,64,32768,0.308606,0,0.019751,2
25176456120316,25176557440257,nvme1n1p3,72,36864,0.346983,0,0.009870,1
25176557440257,25176658702502,nvme1n1p3,24,12288,0.115727,0,0.009875,1
25176658702502,25176759914648,nvme1n1p3,88,45056,0.424541,0,0.000000,0
25176759914648,25176861185514,nvme1n1p3,112,57344,0.540012,0,0.009875,1
25176861185514,25176962366243,nvme1n1p3,0,0,0.000000,1,0.000000,0
25176962366243,25177063136846,nvme1n1p3,80,40960,0.387638,0,0.406865,41
25177063136846,25177164157235,nvme1n1p3,48,24576,0.232008,0,0.009899,1
25177164157235,25177265137907,nvme1n1p3,48,24576,0.232099,0,0.000000,0
25177265137907,25177366241569,nvme1n1p3,80,40960,0.386361,0,0.009891,1
25177366241569,25177467376494,nvme1n1p3,88,45056,0.424866,0,0.009888,1
25177467376494,25177568392160,nvme1n1p3,32,16384,0.154679,0,0.000000,0
25177568392160,25177669485905,nvme1n1p3,56,28672,0.270479,0,0.019784,2
25177669485905,25177770545677,nvme1n1p3,24,12288,0.115959,0,0.306749,31
25177770545677,25177871712446,nvme1n1p3,24,12288,0.115836,1,0.009885,1
25177871712446,25177972648652,nvme1n1p3,24,12288,0.116101,0,0.000000,0
25177972648652,25178073711107,nvme1n1p3,80,40960,0.386518,0,0.554113,56
25178073711107,25178174897552,nvme1n1p3,0,0,0.000000,0,0.000000,0
25178174897552,25178276153885,nvme1n1p3,0,0,0.000000,0,0.000000,0
25178276153885,25178377191358,nvme1n1p3,24,12288,0.115984,0,0.227638,23
25178377191358,25178478527947,nvme1n1p3,0,0,0.000000,0,0.000000,0
25178478527947,25178579600866,nvme1n1p3,72,36864,0.347831,0,0.237452,24
25178579600866,25178680922405,nvme1n1p3,24,12288,0.115659,0,0.009870,1
25178680922405,25178782105761,nvme1n1p3,104,53248,0.501874,0,0.000000,0
25178782105761,25178883181222,nvme1n1p3,48,24576,0.231881,0,0.009894,1
25178883181222,25178984435343,nvme1n1p3,32,16384,0.154315,0,0.000000,0
25178984435343,25179085588091,nvme1n1p3,56,28672,0.270321,0,0.009886,1
25179085588091,25179186815385,nvme1n1p3,72,36864,0.347300,0,0.009879,1
25179186815385,25179288052025,nvme1n1p3,56,28672,0.270097,0,0.049389,5
25179288052025,25179389206128,nvme1n1p3,24,12288,0.115850,0,0.009886,1
25179389206128,25179490190276,nvme1n1p3,24,12288,0.116045,0,0.000000,0
25179490190276,25179591319340,nvme1n1p3,0,0,0.000000,1,0.000000,0
25179591319340,25179691733124,nvme1n1p3,72,36864,0.350114,0,0.368475,37
25179691733124,25179792831269,nvme1n1p3,0,0,0.000000,0,3.402634,344
25179792831269,25179893939450,nvme1n1p3,96,49152,0.463612,0,0.059342,6
25179893939450,25179995061042,nvme1n1p3,56,28672,0.270405,0,0.009889,1
25179995061042,25180096112822,nvme1n1p3,0,0,0.000000,0,0.000000,0
25180096112822,25180196803623,nvme1n1p3,0,0,0.000000,0,0.000000,0
25180196803623,25180297809176,nvme1n1p3,88,45056,0.425410,16,11.237006,1135
25180297809176,25180398952159,nvme1n1p3,24,12288,0.115863,0,0.563559,57
25180398952159,25180499848878,nvme1n1p3,0,0,0.000000,1,0.000000,0
25180499848878,25180600803576,nvme1n1p3,56,28672,0.270852,0,0.376406,38
25180600803576,25180702154328,nvme1n1p3,0,0,0.000000,1,0.000000,0
25180702154328,25180802756668,nvme1n1p3,56,28672,0.271800,0,0.238563,24
25180802756668,25180904253141,nvme1n1p3,0,0,0.000000,1,0.000000,0
25180904253141,25181005498123,nvme1n1p3,72,36864,0.347239,0,0.237049,24
25181005498123,25181106610052,nvme1n1p3,0,0,0.000000,0,0.000000,0
25181106610052,25181207692282,nvme1n1p3,56,28672,0.270510,0,0.405610,41
25181207692282,25181308751509,nvme1n1p3,56,28672,0.270572,0,0.000000,0
25181308751509,25181409787790,nvme1n1p3,48,24576,0.231971,0,0.009897,1
25181409787790,25181510868619,nvme1n1p3,0,0,0.000000,0,0.000000,0
25181510868619,25181611854434,nvme1n1p3,56,28672,0.270768,0,0.237657,24
25181611854434,25181713108373,nvme1n1p3,0,0,0.000000,0,0.000000,0
25181713108373,25181814174972,nvme1n1p3,0,0,0.000000,0,0.227573,23
25181814174972,25181915223391,nvme1n1p3,24,12288,0.115972,0,0.009896,1
25181915223391,25182016177459,nvme1n1p3,72,36864,0.348240,0,0.049527,5
25182016177459,25182117115126,nvme1n1p3,32,16384,0.154799,0,0.000000,0
25182117115126,25182217985513,nvme1n1p3,24,12288,0.116176,0,0.228015,23
25182217985513,25182319036277,nvme1n1p3,0,0,0.000000,0,0.000000,0
25182319036277,25182420055022,nvme1n1p3,24,12288,0.116006,0,0.376168,38
25182420055022,25182521301603,nvme1n1p3,48,24576,0.231489,0,0.039508,4
25182521301603,25182622463427,nvme1n1p3,56,28672,0.270297,0,0.000000,0
25182622463427,25182723714084,nvme1n1p3,0,0,0.000000,0,0.000000,0
