sample_start_ns,sample_end_ns,pid,read_bytes,write_bytes,cancelled_write_bytes,read_bytes_delta,write_bytes_delta
25164623238049,25164723738685,21,0,8192,0,0,4096
25164723738685,25164824296832,21,0,8192,0,0,0
25164824296832,25164924959859,21,36864,8192,0,36864,0
25164924959859,25165026263241,21,90112,8192,0,53248,0
25165026263241,25165127456845,21,102400,8192,0,12288,0
25165127456845,25165228780124,21,102400,8192,0,0,0
25165228780124,25165329978191,21,102400,8192,0,0,0
25165329978191,25165431300695,21,114688,8192,0,12288,0
25165431300695,25165532415884,21,131072,8192,0,16384,0
25165532415884,25165633105715,21,143360,8192,0,12288,0
25165633105715,25165733846052,21,163840,8192,0,20480,0
25165733846052,25165835139084,21,188416,8192,0,24576,0
25165835139084,25165936209418,21,200704,8192,0,12288,0
25165936209418,25166037378566,21,212992,8192,0,12288,0
25166037378566,25166138634552,21,241664,8192,0,28672,0
25166138634552,25166239801647,21,270336,8192,0,28672,0
25166239801647,25166341080888,21,311296,8192,0,40960,0
25166341080888,25166441982460,21,335872,8192,0,24576,0
25166441982460,25166543017158,21,380928,8192,0,45056,0
25166543017158,25166644323331,21,409600,8192,0,28672,0
25166644323331,25166744960422,21,421888,8192,0,12288,0
25166744960422,25166846173344,21,458752,8192,0,36864,0
25166846173344,25166947210216,21,524288,8192,0,65536,0
25166947210216,25167048419932,21,557056,8192,0,32768,0
25167048419932,25167149757104,21,630784,8192,0,73728,0
25167149757104,25167250877166,21,659456,8192,0,28672,0
25167250877166,25167351632057,21,671744,8192,0,12288,0
25167351632057,25167453128715,21,708608,8192,0,36864,0
25167453128715,25167554328293,21,753664,8192,0,45056,0
25167554328293,25167655480630,21,802816,8192,0,49152,0
25167655480630,25167756752281,21,827392,8192,0,24576,0
25167756752281,25167857337011,21,839680,8192,0,12288,0
25167857337011,25167958605791,21,851968,8192,0,12288,0
25167958605791,25168059668063,21,864256,8192,0,12288,0
25168059668063,25168160821051,21,905216,8192,0,40960,0
25168160821051,25168261514295,21,933888,8192,0,28672,0
25168261514295,25168362947621,21,946176,8192,0,12288,0
25168362947621,25168464227299,21,958464,8192,0,12288,0
25168464227299,25168565451438,21,987136,8192,0,28672,0
25168565451438,25168666659789,21,1077248,8192,0,90112,0
25168666659789,25168767826727,21,1134592,8192,0,57344,0
25168767826727,25168868491977,21,1228800,8192,0,94208,0
25168868491977,25168970093105,21,1290240,8192,0,61440,0
25168970093105,25169071280857,21,1290240,8192,0,0,0
25169071280857,25169172311206,21,1290240,8192,0,0,0
25169172311206,25169273465827,21,1302528,8192,0,12288,0
25169273465827,25169374645514,21,1302528,8192,0,0,0
25169374645514,25169475792087,21,1302528,8192,0,0,0
25169475792087,25169577082145,21,1314816,8192,0,12288,0
25169577082145,25169678418640,21,1314816,8192,0,0,0
25169678418640,25169779489240,21,1347584,8192,0,32768,0
25169779489240,25169880590181,21,1359872,8192,0,12288,0
25169880590181,25169982217659,21,1376256,8192,0,16384,0
25169982217659,25170083275311,21,1388544,8192,0,12288,0
25170083275311,25170184633415,21,1425408,8192,0,36864,0
25170184633415,25170285947503,21,1425408,8192,0,0,0
25170285947503,25170386990772,21,1425408,8192,0,0,0
25170386990772,25170488223713,21,1425408,8192,0,0,0
25170488223713,25170589458971,21,1470464,8192,0,45056,0
25170589458971,25170690582856,21,1486848,8192,0,16384,0
25170690582856,25170791819061,21,1486848,8192,0,0,0
25170791819061,25170893057655,21,1515520,8192,0,28672,0
25170893057655,25170994273385,21,1527808,8192,0,12288,0
25170994273385,25171094768199,21,1527808,8192,0,0,0
25171094768199,25171196143923,21,1568768,8192,0,40960,0
25171196143923,25171297175366,21,1581056,8192,0,12288,0
25171297175366,25171398346019,21,1597440,8192,0,16384,0
25171398346019,25171498752493,21,1597440,8192,0,0,0
25171498752493,25171599942758,21,1597440,8192,0,0,0
25171599942758,25171701170859,21,1626112,8192,0,28672,0
25171701170859,25171802349990,21,1638400,8192,0,12288,0
25171802349990,25171903629492,21,1654784,8192,0,16384,0
25171903629492,25172004513754,21,1667072,8192,0,12288,0
25172004513754,25172105628446,21,1708032,8192,0,40960,0
25172105628446,25172206778964,21,1732608,8192,0,24576,0
25172206778964,25172307955517,21,1732608,8192,0,0,0
25172307955517,25172409192784,21,1744896,8192,0,12288,0
25172409192784,25172510283555,21,1761280,8192,0,16384,0
25172510283555,25172611515999,21,1773568,8192,0,12288,0
25172611515999,25172712064378,21,1785856,8192,0,12288,0
25172712064378,25172813146227,21,1785856,8192,0,0,0
25172813146227,25172914117414,21,1830912,8192,0,45056,0
25172914117414,25173015339139,21,1830912,8192,0,0,0
25173015339139,25173116604136,21,1830912,8192,0,0,0
25173116604136,25173217723564,21,1888256,8192,0,57344,0
25173217723564,25173318988017,21,1900544,8192,0,12288,0
25173318988017,25173420207160,21,1957888,8192,0,57344,0
25173420207160,25173521398374,21,1957888,8192,0,0,0
25173521398374,25173622557804,21,1974272,8192,0,16384,0
25173622557804,25173723888660,21,1986560,8192,0,12288,0
25173723888660,25173825206006,21,1998848,8192,0,12288,0
25173825206006,25173926067206,21,2015232,8192,0,16384,0
25173926067206,25174027240890,21,2027520,8192,0,12288,0
25174027240890,25174128332404,21,2039808,8192,0,12288,0
25174128332404,25174229418942,21,2039808,8192,0,0,0
25174229418942,25174330816267,21,2068480,8192,0,28672,0
25174330816267,25174431965098,21,2097152,8192,0,28672,0
25174431965098,25174533077942,21,2109440,8192,0,12288,0
25174533077942,25174634362571,21,2109440,8192,0,0,0
25174634362571,25174735608501,21,2138112,8192,0,28672,0
25174735608501,25174836701978,21,2150400,8192,0,12288,0
25174836701978,25174937864085,21,2183168,8192,0,32768,0
25174937864085,25175039114379,21,2228224,8192,0,45056,0
25175039114379,25175140315971,21,2256896,8192,0,28672,0
25175140315971,25175240931234,21,2256896,8192,0,0,0
25175240931234,25175342255221,21,2256896,8192,0,0,0
25175342255221,25175443545371,21,2256896,8192,0,0,0
25175443545371,25175544686139,21,2289664,8192,0,32768,0
25175544686139,25175645817307,21,2330624,8192,0,40960,0
25175645817307,25175747039302,21,2342912,8192,0,12288,0
25175747039302,25175848387003,21,2342912,8192,0,0,0
25175848387003,25175949724716,21,2367488,8192,0,24576,0
25175949724716,25176051037764,21,2408448,8192,0,40960,0
25176051037764,25176152070758,21,2445312,8192,0,36864,0
25176152070758,25176253346943,21,2469888,8192,0,24576,0
25176253346943,25176354858382,21,2494464,8192,0,24576,0
25176354858382,25176456120316,21,2527232,8192,0,32768,0
25176456120316,25176557440257,21,2564096,8192,0,36864,0
25176557440257,25176658702502,21,2576384,8192,0,12288,0
25176658702502,25176759914648,21,2621440,8192,0,45056,0
25176759914648,25176861185514,21,2678784,8192,0,57344,0
25176861185514,25176962366243,21,2703360,8192,0,24576,0
25176962366243,25177063136846,21,2719744,8192,0,16384,0
25177063136846,25177164157235,21,2744320,8192,0,24576,0
25177164157235,25177265137907,21,2768896,8192,0,24576,0
25177265137907,25177366241569,21,2809856,8192,0,40960,0
25177366241569,25177467376494,21,2854912,8192,0,45056,0
25177467376494,25177568392160,21,2871296,8192,0,16384,0
25177568392160,25177669485905,21,2899968,8192,0,28672,0
25177669485905,25177770545677,21,2912256,8192,0,12288,0
25177770545677,25177871712446,21,2936832,8192,0,24576,0
25177871712446,25177972648652,21,2936832,8192,0,0,0
25177972648652,25178073711107,21,2977792,8192,0,40960,0
25178073711107,25178174897552,21,2977792,8192,0,0,0
25178174897552,25178276153885,21,2977792,8192,0,0,0
25178276153885,25178377191358,21,2990080,8192,0,12288,0
25178377191358,25178478527947,21,2990080,8192,0,0,0
25178478527947,25178579600866,21,3026944,8192,0,36864,0
25178579600866,25178680922405,21,3039232,8192,0,12288,0
25178680922405,25178782105761,21,3092480,8192,0,53248,0
25178782105761,25178883181222,21,3117056,8192,0,24576,0
25178883181222,25178984435343,21,3133440,8192,0,16384,0
25178984435343,25179085588091,21,3162112,8192,0,28672,0
25179085588091,25179186815385,21,3198976,8192,0,36864,0
25179186815385,25179288052025,21,3227648,8192,0,28672,0
25179288052025,25179389206128,21,3239936,8192,0,12288,0
25179389206128,25179490190276,21,3252224,8192,0,12288,0
25179490190276,25179591319340,21,3264512,8192,0,12288,0
25179591319340,25179691733124,21,3289088,8192,0,24576,0
25179691733124,25179792831269,21,3289088,8192,0,0,0
25179792831269,25179893939450,21,3338240,8192,0,49152,0
25179893939450,25179995061042,21,3366912,8192,0,28672,0
25179995061042,25180096112822,21,3366912,8192,0,0,0
25180096112822,25180196803623,21,3366912,8192,0,0,0
25180196803623,25180297809176,21,3379200,8192,0,12288,0
25180297809176,25180398952159,21,3391488,8192,0,12288,0
25180398952159,25180499848878,21,3403776,8192,0,12288,0
25180499848878,25180600803576,21,3420160,8192,0,16384,0
25180600803576,25180702154328,21,3432448,8192,0,12288,0
25180702154328,25180802756668,21,3448832,8192,0,16384,0
25180802756668,25180904253141,21,3461120,8192,0,12288,0
25180904253141,25181005498123,21,3485696,8192,0,24576,0
25181005498123,25181106610052,21,3485696,8192,0,0,0
25181106610052,25181207692282,21,3514368,8192,0,28672,0
25181207692282,25181308751509,21,3543040,8192,0,28672,0
25181308751509,25181409787790,21,3567616,8192,0,24576,0
25181409787790,25181510868619,21,3567616,8192,0,0,0
25181510868619,25181611854434,21,3596288,8192,0,28672,0
25181611854434,25181713108373,21,3596288,8192,0,0,0
25181713108373,25181814174972,21,3596288,8192,0,0,0
25181814174972,25181915223391,21,3608576,8192,0,12288,0
25181915223391,25182016177459,21,3645440,8192,0,36864,0
25182016177459,25182117115126,21,3661824,8192,0,16384,0
25182117115126,25182217985513,21,3674112,8192,0,12288,0
25182217985513,25182319036277,21,3674112,8192,0,0,0
25182319036277,25182420055022,21,3686400,8192,0,12288,0
25182420055022,25182521301603,21,3710976,8192,0,24576,0
25182521301603,25182622463427,21,3723264,8192,0,12288,0
25182622463427,25182723714084,21,3723264,8192,0,0,0
25182723714084,25182824925201,21,3772416,8192,0,49152,0
25182824925201,25182926220760,21,3784704,8192,0,12288,0
25182926220760,25183027375208,21,3796992,8192,0,12288,0
25183027375208,25183128460477,21,3809280,8192,0,12288,0
25183128460477,25183229791838,21,3809280,8192,0,0,0
25183229791838,25183331031022,21,3809280,8192,0,0,0
25183331031022,25183432189685,21,3809280,8192,0,0,0
25183432189685,25183533625677,21,3809280,8192,0,0,0
25183533625677,25183634907914,21,3821568,8192,0,12288,0
25183634907914,25183736367916,21,3821568,8192,0,0,0
25183736367916,25183837724986,21,3846144,8192,0,24576,0
25183837724986,25183939119118,21,3858432,8192,0,12288,0
25183939119118,25184040278045,21,3858432,8192,0,0,0
25184040278045,25184141430334,21,3899392,8192,0,40960,0
25184141430334,25184242741644,21,3899392,8192,0,0,0
25184242741644,25184344042494,21,3952640,8192,0,53248,0
25184344042494,25184445172614,21,3977216,8192,0,24576,0
25184445172614,25184545733120,21,3977216,8192,0,0,0
25184545733120,25184646439400,21,3989504,8192,0,12288,0
25184646439400,25184747692712,21,4001792,8192,0,12288,0
25184747692712,25184848854558,21,4026368,8192,0,24576,0
25184848854558,25184950067821,21,4026368,8192,0,0,0
25184950067821,25185051263009,21,4026368,8192,0,0,0
25185051263009,25185152563115,21,4042752,8192,0,16384,0
25185152563115,25185253693863,21,4055040,8192,0,12288,0
25185253693863,25185354958357,21,4079616,8192,0,24576,0
25185354958357,25185455398795,21,4108288,8192,0,28672,0
25185455398795,25185556499280,21,4136960,8192,0,28672,0
25185556499280,25185657579413,21,4149248,8192,0,12288,0
25185657579413,25185758959925,21,4173824,8192,0,24576,0
25185758959925,25185860166167,21,4198400,8192,0,24576,0
25185860166167,25185961260645,21,4198400,8192,0,0,0
25185961260645,25186062514971,21,4222976,8192,0,24576,0
25186062514971,25186163395703,21,4235264,8192,0,12288,0
25186163395703,25186264814173,21,4247552,8192,0,12288,0
25186264814173,25186366043130,21,4259840,8192,0,12288,0
25186366043130,25186466873781,21,4259840,8192,0,0,0
25186466873781,25186567909421,21,4272128,8192,0,12288,0
25186567909421,25186669205585,21,4308992,8192,0,36864,0
25186669205585,25186770170626,21,4321280,8192,0,12288,0
25186770170626,25186871426109,21,4366336,8192,0,45056,0
25186871426109,25186972481408,21,4366336,8192,0,0,0
25186972481408,25187073863220,21,4411392,8192,0,45056,0
25187073863220,25187175306004,21,4448256,8192,0,36864,0
25187175306004,25187276642972,21,4464640,8192,0,16384,0
25187276642972,25187377722920,21,4493312,8192,0,28672,0
25187377722920,25187478375540,21,4493312,8192,0,0,0
25187478375540,25187579481730,21,4509696,8192,0,16384,0
25187579481730,25187680593082,21,4521984,8192,0,12288,0
25187680593082,25187781738416,21,4534272,8192,0,12288,0
25187781738416,25187882954361,21,4575232,8192,0,40960,0
25187882954361,25187983975612,21,4595712,8192,0,20480,0
25187983975612,25188085006491,21,4628480,8192,0,32768,0
25188085006491,25188186221242,21,4640768,8192,0,12288,0
25188186221242,25188287440050,21,4665344,8192,0,24576,0
25188287440050,25188388902839,21,4702208,8192,0,36864,0
25188388902839,25188490095716,21,4730880,8192,0,28672,0
25188490095716,25188591117972,21,4730880,8192,0,0,0
25188591117972,25188692195873,21,4792320,8192,0,61440,0
25188692195873,25188793249135,21,4792320,8192,0,0,0
25188793249135,25188894436783,21,4829184,8192,0,36864,0
25188894436783,25188995556210,21,4882432,8192,0,53248,0
25188995556210,25189096503186,21,4907008,8192,0,24576,0
25189096503186,25189197143177,21,4947968,8192,0,40960,0
25189197143177,25189298170448,21,4972544,8192,0,24576,0
25189298170448,25189399276147,21,4972544,8192,0,0,0
25189399276147,25189500343038,21,4988928,8192,0,16384,0
25189500343038,25189601576536,21,5017600,8192,0,28672,0
25189601576536,25189702763618,21,5029888,8192,0,12288,0
25189702763618,25189804070965,21,5046272,8192,0,16384,0
25189804070965,25189905303741,21,5074944,8192,0,28672,0
25189905303741,25190006477357,21,5074944,8192,0,0,0
25190006477357,25190107668801,21,5087232,8192,0,12288,0
25190107668801,25190209031117,21,5087232,8192,0,0,0
25190209031117,25190310297587,21,5087232,8192,0,0,0
25190310297587,25190411650016,21,5103616,8192,0,16384,0
25190411650016,25190512582156,21,5103616,8192,0,0,0
25190512582156,25190613706487,21,5103616,8192,0,0,0
25190613706487,25190714781743,21,5115904,8192,0,12288,0
25190714781743,25190816038977,21,5128192,8192,0,12288,0
25190816038977,25190917203965,21,5156864,8192,0,28672,0
25190917203965,25191018493836,21,5156864,8192,0,0,0
25191018493836,25191119849834,21,5169152,8192,0,12288,0
25191119849834,25191221245508,21,5238784,8192,0,69632,0
25191221245508,25191322686910,21,5267456,8192,0,28672,0
25191322686910,25191423939495,21,5279744,8192,0,12288,0
25191423939495,25191525177003,21,5304320,8192,0,24576,0
25191525177003,25191626429383,21,5304320,8192,0,0,0
25191626429383,25191727826735,21,5316608,8192,0,12288,0
25191727826735,25191829090733,21,5316608,8192,0,0,0
25191829090733,25191930346880,21,5341184,8192,0,24576,0
25191930346880,25192031675262,21,5341184,8192,0,0,0
25192031675262,25192132731223,21,5369856,8192,0,28672,0
25192132731223,25192233836841,21,5382144,8192,0,12288,0
25192233836841,25192335234157,21,5406720,8192,0,24576,0
25192335234157,25192436434164,21,5431296,8192,0,24576,0
25192436434164,25192537599871,21,5455872,8192,0,24576,0
25192537599871,25192638623924,21,5455872,8192,0,0,0
25192638623924,25192739963016,21,5472256,8192,0,16384,0
25192739963016,25192841362158,21,5500928,8192,0,28672,0
25192841362158,25192942544764,21,5537792,8192,0,36864,0
25192942544764,25193043602857,21,5550080,8192,0,12288,0
25193043602857,25193145069882,21,5550080,8192,0,0,0
25193145069882,25193246301583,21,5550080,8192,0,0,0
25193246301583,25193347528178,21,5550080,8192,0,0,0
25193347528178,25193448610146,21,5599232,8192,0,49152,0
25193448610146,25193549551647,21,5611520,8192,0,12288,0
25193549551647,25193650755562,21,5640192,8192,0,28672,0
25193650755562,25193752150135,21,5664768,8192,0,24576,0
25193752150135,25193853337636,21,5693440,8192,0,28672,0
25193853337636,25193954153813,21,5705728,8192,0,12288,0
25193954153813,25194054951877,21,5722112,8192,0,16384,0
25194054951877,25194156122148,21,5722112,8192,0,0,0
25194156122148,25194257347570,21,5722112,8192,0,0,0
25194257347570,25194358136813,21,5734400,8192,0,12288,0
25194358136813,25194459319278,21,5734400,8192,0,0,0
25194459319278,25194560378446,21,5763072,8192,0,28672,0
25194560378446,25194661541138,21,5763072,8192,0,0,0
25194661541138,25194763008861,21,5763072,8192,0,0,0
25194763008861,25194864223050,21,5763072,8192,0,0,0
25194864223050,25194965469161,21,5775360,8192,0,12288,0
25194965469161,25195066427544,21,5775360,8192,0,0,0
25195066427544,25195167545858,21,5804032,8192,0,28672,0
25195167545858,25195268741203,21,5828608,8192,0,24576,0
25195268741203,25195369934657,21,5840896,8192,0,12288,0
25195369934657,25195471246479,21,5853184,8192,0,12288,0
25195471246479,25195572470307,21,5869568,8192,0,16384,0
25195572470307,25195673397630,21,5881856,8192,0,12288,0
25195673397630,25195774699276,21,5947392,8192,0,65536,0
25195774699276,25195875813935,21,5947392,8192,0,0,0
25195875813935,25195977059946,21,5963776,8192,0,16384,0
25195977059946,25196078201344,21,5976064,8192,0,12288,0
25196078201344,25196179328268,21,5980160,8192,0,4096,0
25196179328268,25196280768503,21,5980160,8192,0,0,0
25196280768503,25196382275855,21,6029312,8192,0,49152,0
25196382275855,25196483638446,21,6057984,8192,0,28672,0
25196483638446,25196584907846,21,6057984,8192,0,0,0
25196584907846,25196686046632,21,6057984,8192,0,0,0
25196686046632,25196787197006,21,6086656,8192,0,28672,0
25196787197006,25196887917426,21,6111232,8192,0,24576,0
25196887917426,25196989167467,21,6156288,8192,0,45056,0
25196989167467,25197090325679,21,6197248,8192,0,40960,0
25197090325679,25197191245973,21,6209536,8192,0,12288,0
25197191245973,25197292634468,21,6225920,8192,0,16384,0
25197292634468,25197393847335,21,6250496,8192,0,24576,0
25197393847335,25197495080732,21,6250496,8192,0,0,0
25197495080732,25197595910728,21,6275072,8192,0,24576,0
25197595910728,25197697013170,21,6275072,8192,0,0,0
25197697013170,25197797862036,21,6275072,8192,0,0,0
25197797862036,25197898352500,21,6311936,8192,0,36864,0
25197898352500,25197999478435,21,6348800,8192,0,36864,0
25197999478435,25198100856729,21,6348800,8192,0,0,0
25198100856729,25198202052846,21,6348800,8192,0,0,0
25198202052846,25198303321664,21,6406144,8192,0,57344,0
25198303321664,25198404547860,21,6434816,8192,0,28672,0
25198404547860,25198506060955,21,6451200,8192,0,16384,0
25198506060955,25198607358172,21,6451200,8192,0,0,0
25198607358172,25198708425533,21,6475776,8192,0,24576,0
25198708425533,25198809778069,21,6488064,8192,0,12288,0
25198809778069,25198911097308,21,6488064,8192,0,0,0
25198911097308,25199012302806,21,6488064,8192,0,0,0
25199012302806,25199113593648,21,6488064,8192,0,0,0
25199113593648,25199214802617,21,6488064,8192,0,0,0
25199214802617,25199316040919,21,6488064,8192,0,0,0
25199316040919,25199417430750,21,6488064,8192,0,0,0
25199417430750,25199518843671,21,6504448,8192,0,16384,0
25199518843671,25199620173087,21,6504448,8192,0,0,0
25199620173087,25199721456410,21,6520832,8192,0,16384,0
25199721456410,25199822830388,21,6520832,8192,0,0,0
25199822830388,25199924131591,21,6533120,8192,0,12288,0
25199924131591,25200025507137,21,6533120,8192,0,0,0
25200025507137,25200126681466,21,6557696,8192,0,24576,0
25200126681466,25200228051793,21,6582272,8192,0,24576,0
25200228051793,25200329345981,21,6582272,8192,0,0,0
25200329345981,25200430314912,21,6582272,8192,0,0,0
25200430314912,25200531635768,21,6619136,8192,0,36864,0
25200531635768,25200632851178,21,6631424,8192,0,12288,0
25200632851178,25200734006245,21,6668288,8192,0,36864,0
25200734006245,25200835168502,21,6668288,8192,0,0,0
25200835168502,25200935991239,21,6668288,8192,0,0,0
25200935991239,25201036928413,21,6680576,8192,0,12288,0
25201036928413,25201138028487,21,6680576,8192,0,0,0
25201138028487,25201238894203,21,6680576,8192,0,0,0
