run_id,thread_count,io_threads,ssd_threads,query_id,thread_id,query_start_ns,query_end_ns,total_latency_ms,head_latency_ms,ex_latency_ms,io_issue_ms,io_wait_ms,batch_read_total_ms,posting_decode_ms,posting_parse_ms,distance_calc_ms,postings_touched,pages_read,requested_read_bytes,posting_elements_raw,distance_evaluated_count,duplicate_vector_count,final_result_count,recall
run_1777513306847,2,4,40,0,0,25164682295215,25164855318483,173.023000,107.388000,65.635000,0.000000,0.000000,2.389683,0.000000,0.086632,0.083813,64,140,573440,3294,2934,360,10,0.900000
run_1777513306847,2,4,40,1,1,25164682276375,25164846661554,164.385000,100.019000,64.366000,0.000000,0.000000,1.358723,0.000000,0.085244,0.082489,64,135,552960,3304,2968,336,10,0.800000
run_1777513306847,2,4,40,2,1,25164846662213,25164856696363,10.034000,6.881000,3.153000,0.000000,0.000000,1.566117,0.000000,0.065427,0.064229,63,115,471040,2600,2206,394,10,1.000000
run_1777513306847,2,4,40,3,0,25164855318827,25164868718217,13.399000,10.183000,3.216000,0.000000,0.000000,1.298462,0.000000,0.039454,0.036725,64,82,335872,1534,1242,292,10,1.000000
run_1777513306847,2,4,40,4,1,25164856696539,25164870690460,13.994000,10.698000,3.296000,0.000000,0.000000,1.948315,0.000000,0.070883,0.070821,64,121,495616,2783,2420,363,10,1.000000
run_1777513306847,2,4,40,5,0,25164868718344,25164906523654,37.805000,9.482000,28.323000,0.000000,0.000000,25.151553,0.000000,0.095130,0.115171,63,143,585728,3534,3217,317,10,0.800000
run_1777513306847,2,4,40,6,1,25164870690807,25164905838630,35.148000,10.903000,24.245000,0.000000,0.000000,22.905299,0.000000,0.096596,0.094779,61,148,606208,3616,3291,325,10,1.000000
run_1777513306847,2,4,40,7,1,25164905839268,25164920810853,14.971000,11.438000,3.533000,0.000000,0.000000,1.112884,0.000000,0.051912,0.048170,64,101,413696,2149,1581,568,10,1.000000
run_1777513306847,2,4,40,8,0,25164906523976,25164921922530,15.398000,11.453000,3.945000,0.000000,0.000000,1.510931,0.000000,0.073904,0.073091,64,117,479232,2771,2550,221,10,1.000000
run_1777513306847,2,4,40,9,1,25164920811090,25164936763365,15.952000,12.074000,3.878000,0.000000,0.000000,1.680264,0.000000,0.072968,0.077897,64,120,491520,2811,2482,329,10,1.000000
run_1777513306847,2,4,40,10,0,25164921922618,25164938454647,16.532000,12.310000,4.222000,0.000000,0.000000,2.320075,0.000000,0.096160,0.142364,64,145,593920,3528,3241,287,10,1.000000
run_1777513306847,2,4,40,11,1,25164936763858,25164951766659,15.003000,10.947000,4.056000,0.000000,0.000000,1.660108,0.000000,0.062639,0.072267,63,105,430080,2423,2190,233,10,1.000000
run_1777513306847,2,4,40,12,0,25164938455412,25164953917764,15.463000,11.706000,3.757000,0.000000,0.000000,2.289762,0.000000,0.081771,0.083313,61,134,548864,3117,2774,343,10,0.900000
run_1777513306847,2,4,40,13,1,25164951766774,25164967274922,15.508000,11.021000,4.487000,0.000000,0.000000,1.898133,0.000000,0.079586,0.081202,63,132,540672,3113,2755,358,10,1.000000
run_1777513306847,2,4,40,14,0,25164953918353,25164969089529,15.171000,11.574000,3.597000,0.000000,0.000000,2.096486,0.000000,0.085482,0.088671,61,134,548864,3287,2868,419,10,1.000000
