sample_start_ns,sample_end_ns,device,sectors_read_delta,read_bytes_delta,read_bandwidth_mbs,io_in_progress,avg_queue_depth,weighted_io_ms_delta
214268720729705,214268821191407,sda,0,0,0.000000,0,0.000000,0
214268821191407,214268921580107,sda,0,0,0.000000,0,0.000000,0
214268921580107,214269021939109,sda,0,0,0.000000,0,0.000000,0
214269021939109,214269122304756,sda,0,0,0.000000,0,0.000000,0
214269122304756,214269222683102,sda,0,0,0.000000,0,0.000000,0
214269222683102,214269323084909,sda,0,0,0.000000,0,0.000000,0
214269323084909,214269424034503,sda,0,0,0.000000,0,0.000000,0
214269424034503,214269525030715,sda,0,0,0.000000,0,0.000000,0
214269525030715,214269626045685,sda,0,0,0.000000,0,0.000000,0
214269626045685,214269728051250,sda,0,0,0.000000,0,0.000000,0
214269728051250,214269831068755,sda,0,0,0.000000,0,0.000000,0
214269831068755,214269933055248,sda,0,0,0.000000,0,0.000000,0
214269933055248,214270035060656,sda,6872,3518464,32.895008,0,5.715383,583
214270035060656,214270137627089,sda,12432,6365184,59.184202,0,9.389037,963
214270137627089,214270240053342,sda,10640,5447680,50.722470,0,8.962546,918
214270240053342,214270344108045,sda,10992,5627904,51.580441,0,8.245663,858
214270344108045,214270448080479,sda,12400,6348800,58.233584,0,12.782234,1329
214270448080479,214270551067527,sda,12688,6496256,60.156230,0,8.224335,847
214270551067527,214270654086061,sda,15528,7950336,73.598710,0,18.986875,1956
214270654086061,214270756072954,sda,13216,6766592,63.274062,0,11.158297,1138
214270756072954,214270859080781,sda,11760,6021120,55.745157,0,9.465300,975
214270859080781,214270961062633,sda,11864,6074368,56.803918,0,7.844533,800
214270961062633,214271062881601,sda,10552,5402624,50.602985,0,7.071374,720
214271062881601,214271165072976,sda,12768,6537216,61.006861,0,9.325640,953
214271165072976,214271268074734,sda,13072,6692864,61.967996,0,12.252218,1262
214271268074734,214271373074861,sda,9472,4849664,44.047566,0,7.523800,790
214271373074861,214271482509239,sda,14920,7639040,66.571002,0,9.914618,1085
214271482509239,214271584987607,sda,4256,2179072,20.278670,0,4.039877,414
214271584987607,214271690943351,sda,15856,8118272,73.070012,0,13.033744,1381
214271690943351,214271792857850,sda,7784,3985408,37.293823,0,6.250337,637
214271792857850,214271895060868,sda,9368,4796416,44.756200,0,5.547781,567
214271895060868,214271998070467,sda,14888,7622656,70.571396,0,15.891723,1637
214271998070467,214272100056494,sda,11488,5881856,55.001407,0,15.776671,1609
214272100056494,214272202050869,sda,6432,3293184,30.792139,0,4.323768,441
214272202050869,214272305055439,sda,14872,7614464,70.498996,0,11.446094,1179
214272305055439,214272408074918,sda,11144,5705728,52.819198,0,6.823952,703
214272408074918,214272512065282,sda,15968,8175616,74.976899,0,12.010728,1249
214272512065282,214272615083916,sda,11808,6045696,55.966817,0,10.153503,1046
214272615083916,214272718079396,sda,15536,7954432,73.653111,0,13.447192,1385
214272718079396,214272822080020,sda,12800,6553600,60.095793,0,8.807639,916
214272822080020,214272925062807,sda,14424,7385088,68.389766,0,9.360788,964
214272925062807,214273027505479,sda,12016,6152192,57.272886,0,7.936146,813
214273027505479,214273133073962,sda,16928,8667136,78.296332,0,18.300917,1932
214273133073962,214273236080283,sda,12736,6520832,60.372509,0,8.193672,844
214273236080283,214273342164421,sda,15208,7786496,69.998978,0,12.179012,1292
214273342164421,214273447379920,sda,11872,6078464,55.095257,0,8.430317,887
214273447379920,214273550074253,sda,16224,8306688,77.140333,0,12.045455,1237
214273550074253,214273653167319,sda,13088,6701056,61.988893,0,11.232569,1158
214273653167319,214273756064939,sda,16416,8404992,77.899032,0,10.952634,1127
214273756064939,214273859064166,sda,15008,7684096,71.147379,0,13.174856,1357
214273859064166,214273961052744,sda,14984,7671808,71.737506,0,10.981622,1120
214273961052744,214274063065681,sda,11032,5648384,52.804271,0,7.352009,750
214274063065681,214274166065612,sda,16496,8445952,78.200902,0,12.019426,1238
214274166065612,214274269062556,sda,13440,6881280,63.715483,0,10.184768,1049
214274269062556,214274372061102,sda,18904,9678848,89.617467,0,13.553589,1396
214274372061102,214274474050361,sda,7184,3678208,34.393940,0,5.441750,555
214274474050361,214274577068201,sda,17368,8892416,82.320390,0,20.627495,2125
214274577068201,214274694072189,sda,10968,5615616,45.771677,0,8.093741,947
214274694072189,214274797435368,sda,15200,7782400,71.803858,0,8.978052,928
214274797435368,214274898987999,sda,10592,5423104,50.928026,0,6.774812,688
214274898987999,214275001063526,sda,15808,8093696,75.618027,0,9.492971,969
214275001063526,214275102603279,sda,9328,4775936,44.856200,0,8.568073,870
214275102603279,214275206102279,sda,12344,6320128,58.235768,0,7.536305,780
214275206102279,214275309061003,sda,14152,7245824,67.115791,0,9.518377,980
214275309061003,214275411055620,sda,11440,5857280,54.766983,0,7.627854,778
214275411055620,214275514072049,sda,14936,7647232,70.794230,0,9.270366,955
214275514072049,214275616407442,sda,12064,6176768,57.561952,0,9.214798,943
214275616407442,214275719058990,sda,13776,7053312,65.528116,0,14.817117,1521
214275719058990,214275821403502,sda,17280,8847360,82.442134,0,12.477464,1277
214275821403502,214275924055706,sda,10312,5279744,49.050639,0,6.770434,695
214275924055706,214276026078104,sda,14912,7634944,71.369132,0,10.605514,1082
214276026078104,214276129068723,sda,10208,5226496,48.396398,0,7.583215,781
214276129068723,214276231369189,sda,11920,6103040,56.894291,0,8.132905,832
214276231369189,214276334041969,sda,11088,5677056,52.731235,0,8.171591,839
214276334041969,214276435956264,sda,13416,6868992,64.277354,0,12.589009,1283
214276435956264,214276546562845,sda,11648,5963776,51.420991,0,11.536384,1276
214276546562845,214276654077641,sda,11192,5730304,50.828760,0,7.738470,832
214276654077641,214276757321567,sda,13312,6815744,62.957699,0,12.475310,1288
214276757321567,214276860058594,sda,6248,3198976,29.695051,0,4.107575,422
214276860058594,214276963069224,sda,15864,8122368,75.197033,0,22.628733,2331
214276963069224,214277066076578,sda,4472,2289664,21.198426,0,2.951246,304
214277066076578,214277169072638,sda,17736,9080832,84.082403,0,11.058675,1139
