sample_start_ns,sample_end_ns,psi_io_some_total_us,psi_io_full_total_us,psi_io_some_delta_us,psi_io_full_delta_us
214264015378654,214264115786233,320225187,312291952,0,0
214264115786233,214264216174273,320225187,312291952,0,0
214264216174273,214264316531502,320225187,312291952,0,0
214264316531502,214264416913254,320225194,312291958,7,6
214264416913254,214264517293211,320225194,312291958,0,0
214264517293211,214264617660189,320225194,312291958,0,0
214264617660189,214264719855294,320225194,312291958,0,0
214264719855294,214264825400553,320226769,312291958,1575,0
214264825400553,214264927040324,320226769,312291958,0,0
214264927040324,214265029047811,320226769,312291958,0,0
214265029047811,214265130075077,320226769,312291958,0,0
214265130075077,214265233038134,320226769,312291958,0,0
214265233038134,214265335133884,320226769,312291958,0,0
214265335133884,214265436959759,320226895,312292055,126,97
214265436959759,214265543064050,320227322,312292469,427,414
214265543064050,214265645052236,320227322,312292469,0,0
214265645052236,214265750049824,320227322,312292469,0,0
214265750049824,214265853069597,320227330,312292469,8,0
214265853069597,214265956066815,320227332,312292470,2,1
214265956066815,214266059063570,320227338,312292470,6,0
214266059063570,214266161073570,320227338,312292470,0,0
214266161073570,214266264070847,320227338,312292470,0,0
214266264070847,214266367055022,320227448,312292470,110,0
214266367055022,214266470070327,320227448,312292470,0,0
214266470070327,214266575080251,320227448,312292470,0,0
214266575080251,214266680184786,320227576,312292470,128,0
214266680184786,214266785081366,320228345,312292470,769,0
214266785081366,214266912055385,320228376,312292470,31,0
214266912055385,214267015046882,320228474,312292470,98,0
214267015046882,214267118090696,320228544,312292470,70,0
214267118090696,214267220407356,320228957,312292841,413,371
214267220407356,214267320819092,320228957,312292841,0,0
214267320819092,214267422080350,320228957,312292841,0,0
214267422080350,214267523370046,320228957,312292841,0,0
214267523370046,214267624667646,320228957,312292841,0,0
214267624667646,214267725971247,320228957,312292841,0,0
214267725971247,214267826501997,320228967,312292850,10,9
214267826501997,214267926949225,320228967,312292850,0,0
214267926949225,214268027999327,320228967,312292850,0,0
214268027999327,214268129338691,320228967,312292850,0,0
214268129338691,214268230603026,320228967,312292850,0,0
