sample_start_ns,sample_end_ns,cpu_idle_percent,cpu_iowait_percent,total_jiffies_delta,idle_jiffies_delta,iowait_jiffies_delta
214135122681137,214135223057221,85.534591,0.000000,159,136,0
214135223057221,214135323390319,86.075949,0.000000,158,136,0
214135323390319,214135423741845,85.093168,0.000000,161,137,0
214135423741845,214135524046923,91.250000,0.000000,160,146,0
214135524046923,214135624385542,93.125000,0.000000,160,149,0
214135624385542,214135724729257,92.500000,0.000000,160,148,0
214135724729257,214135825044774,63.975155,0.000000,161,103,0
214135825044774,214135925726238,44.375000,0.000000,160,71,0
214135925726238,214136026525756,45.911950,0.000000,159,73,0
214136026525756,214136127458797,50.000000,0.617284,162,81,1
214136127458797,214136229892965,47.826087,0.000000,161,77,0
214136229892965,214136332103058,44.444444,0.000000,162,72,0
214136332103058,214136434379547,31.250000,0.000000,160,50,0
214136434379547,214136536551356,36.477987,0.000000,159,58,0
214136536551356,214136639072753,36.809816,0.000000,163,60,0
214136639072753,214136742413697,36.477987,0.628931,159,58,1
214136742413697,214136844977172,32.716049,0.000000,162,53,0
214136844977172,214136947490612,31.055901,0.000000,161,50,0
214136947490612,214137050185466,36.875000,0.000000,160,59,0
214137050185466,214137152307807,39.130435,0.621118,161,63,1
214137152307807,214137254874991,38.888889,0.000000,162,63,0
214137254874991,214137357609587,36.875000,0.000000,160,59,0
214137357609587,214137459680123,41.875000,1.250000,160,67,2
214137459680123,214137562030347,44.444444,0.000000,162,72,0
214137562030347,214137664347910,45.000000,0.000000,160,72,0
214137664347910,214137766779948,43.558282,0.000000,163,71,0
214137766779948,214137869180420,37.888199,0.000000,161,61,0
214137869180420,214137971999740,38.271605,0.000000,162,62,0
214137971999740,214138075166295,45.061728,0.000000,162,73,0
214138075166295,214138177262532,46.583851,0.000000,161,75,0
214138177262532,214138279403404,39.506173,0.000000,162,64,0
214138279403404,214138381215303,32.500000,0.000000,160,52,0
214138381215303,214138483318610,39.130435,0.000000,161,63,0
214138483318610,214138585219872,40.625000,0.000000,160,65,0
214138585219872,214138687642005,25.465839,0.000000,161,41,0
214138687642005,214138791999153,12.138728,0.000000,173,21,0
214138791999153,214138898802558,6.748466,0.000000,163,11,0
214138898802558,214139004358050,21.428571,0.000000,168,36,0
214139004358050,214139106718384,38.271605,0.000000,162,62,0
214139106718384,214139208082682,21.739130,0.000000,161,35,0
214139208082682,214139310450168,37.267081,0.000000,161,60,0
214139310450168,214139412991322,38.036810,0.000000,163,62,0
214139412991322,214139515875952,35.185185,0.000000,162,57,0
214139515875952,214139618060073,37.974684,0.000000,158,60,0
214139618060073,214139720341890,34.567901,0.000000,162,56,0
214139720341890,214139822563999,33.333333,0.000000,162,54,0
214139822563999,214139925265112,31.481481,0.617284,162,51,1
214139925265112,214140028038492,32.919255,0.000000,161,53,0
214140028038492,214140130460682,38.888889,0.000000,162,63,0
214140130460682,214140233199866,39.751553,0.000000,161,64,0
