sample_start_ns,sample_end_ns,pid,read_bytes,write_bytes,cancelled_write_bytes,read_bytes_delta,write_bytes_delta
214009169380638,214009269768594,379146,0,187805696,0,0,146010112
214009269768594,214009370176133,379146,0,329048064,0,0,141242368
214009370176133,214009470537164,379146,0,472743936,0,0,143695872
214009470537164,214009570930322,379146,0,512008192,0,0,39264256
214009570930322,214009671308203,379146,0,512008192,0,0,0
214009671308203,214009771845024,379146,0,512012288,41017344,0,4096
214009771845024,214009872204936,379146,0,517136384,512004096,0,5124096
214009872204936,214009973392955,379146,0,517136384,512004096,0,0
214009973392955,214010074474908,379146,0,517136384,512004096,0,0
214010074474908,214010177326410,379146,925696,517136384,512004096,925696,0
214010177326410,214010278351957,379146,7471104,517136384,512004096,6545408,0
214010278351957,214010380904642,379146,14688256,517136384,512004096,7217152,0
214010380904642,214010483329343,379146,22818816,517136384,512004096,8130560,0
214010483329343,214010585393812,379146,30113792,517136384,512004096,7294976,0
214010585393812,214010687648895,379146,38666240,517136384,512004096,8552448,0
214010687648895,214010789871586,379146,46383104,517136384,512004096,7716864,0
214010789871586,214010891962115,379146,52293632,517136384,512004096,5910528,0
214010891962115,214010994388110,379146,57458688,517136384,512004096,5165056,0
214010994388110,214011097305921,379146,64266240,517136384,512004096,6807552,0
214011097305921,214011199719029,379146,70705152,517136384,512004096,6438912,0
214011199719029,214011302092689,379146,76263424,517136384,512004096,5558272,0
214011302092689,214011404767943,379146,82132992,517136384,512004096,5869568,0
214011404767943,214011507294475,379146,87162880,517136384,512004096,5029888,0
214011507294475,214011609811078,379146,93405184,517136384,512004096,6242304,0
214011609811078,214011712281928,379146,99561472,517136384,512004096,6156288,0
214011712281928,214011814053046,379146,106160128,517136384,512004096,6598656,0
214011814053046,214011916582055,379146,112398336,517136384,512004096,6238208,0
214011916582055,214012018969375,379146,117907456,517136384,512004096,5509120,0
214012018969375,214012121410715,379146,124112896,517136384,512004096,6205440,0
214012121410715,214012223987950,379146,131014656,517136384,512004096,6901760,0
214012223987950,214012327204859,379146,137601024,517136384,512004096,6586368,0
214012327204859,214012429703163,379146,144678912,517136384,512004096,7077888,0
214012429703163,214012532065242,379146,152588288,517136384,512004096,7909376,0
214012532065242,214012633153369,379146,160026624,517136384,512004096,7438336,0
214012633153369,214012735470444,379146,167145472,517136384,512004096,7118848,0
214012735470444,214012837870232,379146,173883392,517136384,512004096,6737920,0
214012837870232,214012940246939,379146,181956608,517136384,512004096,8073216,0
214012940246939,214013042355580,379146,190218240,517136384,512004096,8261632,0
214013042355580,214013144440288,379146,197480448,517136384,512004096,7262208,0
214013144440288,214013246804181,379146,205328384,517136384,512004096,7847936,0
214013246804181,214013349045262,379146,212279296,517136384,512004096,6950912,0
214013349045262,214013451577218,379146,219545600,517136384,512004096,7266304,0
214013451577218,214013553820102,379146,228208640,517136384,512004096,8663040,0
214013553820102,214013654895243,379146,236068864,517136384,512004096,7860224,0
214013654895243,214013757108104,379146,243433472,517136384,512004096,7364608,0
214013757108104,214013859569770,379146,250146816,517136384,512004096,6713344,0
214013859569770,214013961983628,379146,259096576,517136384,512004096,8949760,0
214013961983628,214014064414488,379146,267563008,517136384,512004096,8466432,0
214014064414488,214014166622494,379146,275578880,517136384,512004096,8015872,0
214014166622494,214014268754121,379146,282619904,517136384,512004096,7041024,0
214014268754121,214014371059120,379146,289628160,517136384,512004096,7008256,0
214014371059120,214014473592717,379146,296955904,517136384,512004096,7327744,0
214014473592717,214014576209486,379146,303390720,517136384,512004096,6434816,0
214014576209486,214014678999722,379146,310591488,517136384,512004096,7200768,0
214014678999722,214014781344282,379146,315953152,517136384,512004096,5361664,0
214014781344282,214014883647832,379146,322125824,517136384,512004096,6172672,0
214014883647832,214014986333719,379146,329347072,517136384,512004096,7221248,0
