sample_start_ns,sample_end_ns,device,sectors_read_delta,read_bytes_delta,read_bandwidth_mbs,io_in_progress,avg_queue_depth,weighted_io_ms_delta
213373785181406,213373885638346,sda,0,0,0.000000,0,0.000000,0
213373885638346,213373985988489,sda,0,0,0.000000,0,0.000000,0
213373985988489,213374086601788,sda,0,0,0.000000,0,0.000000,0
213374086601788,213374186952970,sda,0,0,0.000000,0,0.000000,0
213374186952970,213374287300943,sda,0,0,0.000000,0,0.000000,0
213374287300943,213374387617214,sda,0,0,0.000000,0,0.000000,0
213374387617214,213374487932605,sda,0,0,0.000000,0,0.000000,0
213374487932605,213374588390334,sda,0,0,0.000000,0,0.000000,0
213374588390334,213374688920859,sda,5832,2985984,28.326284,0,6.415962,645
213374688920859,213374789588850,sda,12136,6213632,58.864602,0,7.867446,792
213374789588850,213374890198418,sda,11720,6000640,56.879841,0,6.112739,615
213374890198418,213374990715415,sda,11288,5779456,54.833699,0,6.705334,674
213374990715415,213375091398510,sda,10440,5345280,50.630707,0,6.664475,671
213375091398510,213375191926529,sda,13408,6864896,65.124878,0,8.107192,815
213375191926529,213375292543988,sda,9416,4820992,45.694418,0,5.356923,539
213375292543988,213375393036916,sda,12544,6422528,60.949563,0,7.114929,715
213375393036916,213375493613252,sda,11232,5750784,54.529477,0,7.148799,719
213375493613252,213375594282419,sda,9816,5025792,47.611090,0,7.102473,715
213375594282419,213375694826456,sda,9176,4698112,44.562252,0,6.206236,624
213375694826456,213375795428738,sda,12184,6238208,59.136022,0,7.882525,793
213375795428738,213375896225004,sda,11232,5750784,54.410498,0,8.730482,880
213375896225004,213375996815219,sda,11152,5709824,54.133620,0,7.326756,737
213375996815219,213376097492229,sda,11656,5967872,56.531340,0,7.936271,799
213376097492229,213376198124404,sda,10168,5206016,49.336544,0,7.403199,745
213376198124404,213376298758603,sda,11968,6127616,58.069226,0,6.945949,699
213376298758603,213376399436773,sda,12208,6250496,59.207845,0,7.101837,715
213376399436773,213376500083667,sda,13328,6823936,64.659844,0,7.342502,739
213376500083667,213376600525177,sda,11976,6131712,58.219518,0,7.168351,720
213376600525177,213376701108484,sda,11544,5910528,56.040301,0,6.710855,675
213376701108484,213376801691230,sda,11576,5926912,56.195958,0,7.446605,749
213376801691230,213376902321932,sda,12352,6324224,59.934492,0,6.628196,667
213376902321932,213377002847483,sda,10400,5324800,50.515764,0,6.097952,613
213377002847483,213377103605463,sda,13824,7077888,66.992212,0,7.384031,744
213377103605463,213377204384236,sda,12192,6242304,59.071219,0,7.035212,709
213377204384236,213377304998998,sda,11200,5734400,54.353356,0,6.181995,622
213377304998998,213377405610394,sda,12408,6352896,60.217768,0,6.868009,691
213377405610394,213377506288597,sda,10144,5193728,49.197590,0,5.899986,594
213377506288597,213377606835146,sda,16552,8474624,80.380991,0,9.149991,920
213377606835146,213377707539377,sda,13496,6909952,65.437606,0,7.278741,733
213377707539377,213377808096546,sda,14360,7352320,69.728681,0,8.154565,820
213377808096546,213377908591553,sda,14240,7290880,69.188761,0,7.841186,788
213377908591553,213378009164893,sda,14000,7168000,67.969678,0,7.745591,779
213378009164893,213378109645530,sda,13784,7057408,66.982744,0,9.205754,925
213378109645530,213378210328355,sda,14320,7331840,69.447669,0,9.495165,956
213378210328355,213378310869397,sda,13768,7049216,66.864796,0,7.887326,793
213378310869397,213378411449082,sda,14488,7417856,70.334469,0,8.083143,813
213378411449082,213378511994209,sda,15464,7917568,75.098431,0,8.036193,808
213378511994209,213378612605261,sda,14840,7598080,72.020853,0,7.891777,794
213378612605261,213378713138026,sda,14968,7663616,72.698625,0,8.166492,821
213378713138026,213378813751163,sda,14712,7532544,71.398169,0,8.507835,856
213378813751163,213378914305970,sda,13432,6877184,65.224070,0,9.387915,944
213378914305970,213379014928005,sda,15416,7892992,74.808105,0,8.179123,823
213379014928005,213379115541736,sda,16224,8306688,78.735526,0,8.636992,869
213379115541736,213379216076350,sda,15440,7905280,74.989719,0,8.086767,813
213379216076350,213379316573141,sda,14536,7442432,70.625700,0,7.711689,775
213379316573141,213379417145633,sda,15744,8060928,76.437402,0,8.541103,859
213379417145633,213379517753399,sda,13792,7061504,66.936930,0,7.762820,781
213379517753399,213379618415907,sda,12096,6193152,58.673782,0,6.407549,645
213379618415907,213379719036769,sda,14296,7319552,69.373971,0,8.050020,810
213379719036769,213379819644587,sda,12408,6352896,60.219910,0,7.136622,718
213379819644587,213379920266010,sda,13000,6656000,63.084541,0,6.807695,685
213379920266010,213380020891037,sda,10976,5619712,53.260855,0,6.221116,626
213380020891037,213380121751923,sda,12848,6578176,62.198913,0,7.277350,734
