sample_start_ns,sample_end_ns,cpu_idle_percent,cpu_iowait_percent,total_jiffies_delta,idle_jiffies_delta,iowait_jiffies_delta
214003439760543,214003540201094,85.625000,0.000000,160,137,0
214003540201094,214003640582874,86.250000,0.000000,160,138,0
214003640582874,214003740990907,86.163522,0.000000,159,137,0
214003740990907,214003841317985,86.875000,0.000000,160,139,0
214003841317985,214003941680605,90.683230,0.000000,161,146,0
214003941680605,214004042029586,91.304348,0.000000,161,147,0
214004042029586,214004142357985,67.080745,0.000000,161,108,0
214004142357985,214004243042334,47.500000,0.000000,160,76,0
214004243042334,214004343768748,38.125000,0.000000,160,61,0
214004343768748,214004444964547,40.740741,1.234568,162,66,2
214004444964547,214004547509302,31.875000,0.000000,160,51,0
214004547509302,214004649792326,36.875000,0.000000,160,59,0
214004649792326,214004752107721,29.012346,0.000000,162,47,0
214004752107721,214004854574808,30.188679,0.000000,159,48,0
214004854574808,214004957048188,30.434783,0.000000,161,49,0
214004957048188,214005058904238,36.024845,0.000000,161,58,0
214005058904238,214005161473083,41.250000,0.000000,160,66,0
214005161473083,214005263931403,38.888889,0.000000,162,63,0
214005263931403,214005366833162,38.414634,0.609756,164,63,1
214005366833162,214005469302677,44.720497,0.000000,161,72,0
214005469302677,214005571466502,45.341615,0.000000,161,73,0
214005571466502,214005673752925,44.720497,0.000000,161,72,0
214005673752925,214005776078345,40.993789,0.000000,161,66,0
214005776078345,214005878140245,37.654321,0.000000,162,61,0
214005878140245,214005980600409,39.130435,0.000000,161,63,0
214005980600409,214006082507613,46.875000,0.000000,160,75,0
214006082507613,214006184940884,48.750000,0.000000,160,78,0
214006184940884,214006286417371,44.444444,0.000000,162,72,0
214006286417371,214006388773672,40.740741,0.617284,162,66,1
214006388773672,214006491765851,36.809816,0.000000,163,60,0
214006491765851,214006594841596,35.802469,0.000000,162,58,0
214006594841596,214006696965570,34.375000,0.625000,160,55,1
214006696965570,214006799445258,36.419753,0.000000,162,59,0
214006799445258,214006901935937,30.434783,0.000000,161,49,0
214006901935937,214007004081336,30.864198,0.000000,162,50,0
214007004081336,214007106425405,39.751553,0.000000,161,64,0
214007106425405,214007209424274,41.875000,0.000000,160,67,0
214007209424274,214007311673266,37.500000,0.000000,160,60,0
214007311673266,214007414029075,43.209877,0.000000,162,70,0
214007414029075,214007516185842,45.061728,0.000000,162,73,0
214007516185842,214007618356656,45.000000,0.000000,160,72,0
214007618356656,214007720563027,45.000000,0.000000,160,72,0
214007720563027,214007821926937,78.260870,1.242236,161,126,2
214007821926937,214007922243467,98.113208,0.000000,159,156,0
214007922243467,214008022713738,97.515528,0.000000,161,157,0
214008022713738,214008123992727,98.750000,0.000000,160,158,0
214008123992727,214008225221292,96.932515,0.000000,163,158,0
214008225221292,214008326534331,97.500000,0.000000,160,156,0
214008326534331,214008427803657,96.913580,0.000000,162,157,0
214008427803657,214008529222237,96.913580,0.000000,162,157,0
214008529222237,214008630615402,97.515528,0.000000,161,157,0
214008630615402,214008731789668,96.273292,0.000000,161,155,0
214008731789668,214008833033824,95.679012,0.000000,162,155,0
